AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Excelsior,FC Twente,Fortuna Sittard,Go Ahead Eagles,Ajax Amsterdam,NEC Nijmegen,FC Groningen,Sparta Rotterdam,Heerenveen,PEC Zwolle,Telstar,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
632.0,7968.0,634.0,17.0,357.0,3.0,16.0,271.0,85.0,11.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
2447.0,1346.0,2219.0,225.0,1580.0,68.0,158.0,1287.0,494.0,116.0,4.0,29.0,0.0,6.0,21.0,0.0,0.0,0.0
2069.0,428.0,1976.0,442.0,1670.0,165.0,327.0,1592.0,879.0,253.0,5.0,110.0,3.0,19.0,62.0,0.0,0.0,0.0
1576.0,154.0,1564.0,626.0,1667.0,305.0,554.0,1566.0,1170.0,429.0,17.0,199.0,6.0,45.0,122.0,0.0,0.0,0.0
1124.0,68.0,1222.0,881.0,1436.0,473.0,772.0,1481.0,1235.0,609.0,36.0,366.0,16.0,95.0,186.0,0.0,0.0,0.0
778.0,24.0,854.0,1085.0,1067.0,717.0,1053.0,1221.0,1309.0,795.0,101.0,533.0,29.0,156.0,278.0,0.0,0.0,0.0
533.0,9.0,585.0,1137.0,806.0,915.0,1168.0,860.0,1250.0,1030.0,129.0,766.0,58.0,259.0,495.0,0.0,0.0,0.0
372.0,2.0,381.0,1258.0,556.0,1012.0,1225.0,597.0,1108.0,1119.0,250.0,932.0,133.0,394.0,659.0,1.0,0.0,1.0
197.0,1.0,246.0,1156.0,398.0,1137.0,1200.0,451.0,814.0,1241.0,378.0,1114.0,197.0,588.0,875.0,4.0,2.0,1.0
132.0,0.0,148.0,959.0,217.0,1258.0,1021.0,305.0,659.0,1170.0,621.0,1259.0,371.0,821.0,1044.0,6.0,8.0,1.0
86.0,0.0,98.0,800.0,118.0,1216.0,856.0,175.0,444.0,1100.0,888.0,1251.0,558.0,1075.0,1297.0,13.0,20.0,5.0
29.0,0.0,47.0,615.0,69.0,1039.0,735.0,113.0,285.0,843.0,1241.0,1164.0,884.0,1448.0,1412.0,29.0,40.0,7.0
19.0,0.0,15.0,439.0,34.0,812.0,487.0,49.0,165.0,632.0,1681.0,1071.0,1343.0,1628.0,1385.0,87.0,127.0,26.0
5.0,0.0,9.0,250.0,17.0,572.0,296.0,30.0,68.0,441.0,2129.0,705.0,2088.0,1659.0,1134.0,221.0,297.0,79.0
1.0,0.0,2.0,89.0,8.0,265.0,112.0,2.0,30.0,186.0,1774.0,415.0,2935.0,1338.0,832.0,729.0,941.0,341.0
0.0,0.0,0.0,21.0,0.0,34.0,20.0,0.0,4.0,22.0,550.0,70.0,998.0,363.0,158.0,2835.0,3388.0,1537.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,159.0,10.0,313.0,92.0,33.0,3412.0,3030.0,2939.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,2.0,68.0,14.0,5.0,2663.0,2147.0,5063.0
