Barcelona,Alavés,Sevilla,Real Madrid,Real Betis,Deportivo La Coruña,Atlético Madrid,Osasuna,Real Sociedad,Athletic Club,Levante,Espanyol,Racing Santander,Rayo Vallecano,Getafe,Celta Vigo,Villarreal,Málaga,Elche,Valencia
8425.0,10.0,2.0,1423.0,55.0,1.0,55.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0
1369.0,305.0,56.0,6298.0,669.0,33.0,631.0,54.0,94.0,26.0,24.0,12.0,0.0,39.0,15.0,27.0,348.0,0.0,0.0,0.0
161.0,959.0,340.0,1360.0,2147.0,236.0,1909.0,327.0,445.0,168.0,143.0,68.0,6.0,202.0,77.0,159.0,1259.0,0.0,26.0,8.0
32.0,1195.0,516.0,465.0,1768.0,363.0,1584.0,479.0,677.0,329.0,251.0,129.0,17.0,330.0,160.0,256.0,1383.0,0.0,53.0,13.0
7.0,1144.0,621.0,226.0,1254.0,478.0,1332.0,640.0,750.0,427.0,340.0,231.0,30.0,476.0,246.0,413.0,1250.0,0.0,95.0,40.0
3.0,1016.0,741.0,97.0,986.0,613.0,1036.0,745.0,839.0,488.0,439.0,306.0,55.0,549.0,326.0,487.0,1096.0,0.0,118.0,60.0
1.0,960.0,775.0,64.0,803.0,631.0,826.0,743.0,826.0,600.0,578.0,354.0,84.0,617.0,424.0,551.0,897.0,0.0,173.0,93.0
0.0,845.0,846.0,29.0,562.0,693.0,637.0,765.0,799.0,690.0,630.0,451.0,115.0,703.0,444.0,629.0,814.0,0.0,212.0,136.0
2.0,692.0,822.0,12.0,452.0,735.0,483.0,803.0,847.0,680.0,685.0,558.0,154.0,715.0,563.0,702.0,628.0,0.0,282.0,185.0
0.0,608.0,779.0,10.0,362.0,712.0,393.0,812.0,780.0,762.0,705.0,618.0,220.0,737.0,600.0,767.0,567.0,6.0,340.0,222.0
0.0,509.0,756.0,7.0,258.0,797.0,325.0,774.0,711.0,806.0,795.0,692.0,251.0,735.0,691.0,762.0,421.0,1.0,411.0,298.0
0.0,447.0,727.0,5.0,205.0,753.0,236.0,755.0,663.0,793.0,785.0,735.0,377.0,743.0,738.0,820.0,342.0,10.0,499.0,367.0
0.0,367.0,658.0,1.0,178.0,718.0,193.0,690.0,582.0,765.0,776.0,799.0,462.0,798.0,828.0,796.0,306.0,14.0,618.0,451.0
0.0,323.0,610.0,3.0,116.0,742.0,130.0,626.0,561.0,765.0,768.0,842.0,555.0,690.0,868.0,784.0,223.0,23.0,777.0,594.0
0.0,227.0,553.0,0.0,74.0,681.0,79.0,526.0,455.0,705.0,774.0,950.0,730.0,706.0,866.0,753.0,192.0,33.0,875.0,821.0
0.0,164.0,471.0,0.0,53.0,608.0,74.0,442.0,366.0,646.0,743.0,878.0,1000.0,670.0,916.0,676.0,132.0,80.0,1034.0,1047.0
0.0,124.0,347.0,0.0,36.0,511.0,42.0,381.0,292.0,586.0,632.0,919.0,1291.0,606.0,858.0,614.0,60.0,166.0,1233.0,1302.0
0.0,66.0,223.0,0.0,16.0,400.0,25.0,273.0,189.0,427.0,547.0,783.0,1786.0,401.0,750.0,445.0,43.0,473.0,1427.0,1726.0
0.0,37.0,142.0,0.0,6.0,264.0,9.0,147.0,106.0,282.0,338.0,566.0,2188.0,242.0,530.0,316.0,17.0,1386.0,1403.0,2021.0
0.0,2.0,15.0,0.0,0.0,31.0,1.0,15.0,15.0,54.0,46.0,109.0,679.0,41.0,100.0,42.0,2.0,7808.0,424.0,616.0
