SC Freiburg,Borussia Dortmund,FC Augsburg,SV Elversberg,Bayern Munich,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,RB Leipzig,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Hamburg SV,Borussia Mönchengladbach
116.0,2217.0,21.0,3.0,7246.0,149.0,5.0,15.0,0.0,0.0,2.0,113.0,22.0,91.0,0.0,0.0,0.0,0.0
595.0,4633.0,146.0,37.0,2142.0,825.0,79.0,71.0,10.0,0.0,11.0,651.0,177.0,618.0,0.0,2.0,0.0,3.0
1304.0,1633.0,469.0,167.0,418.0,1868.0,255.0,262.0,31.0,6.0,59.0,1457.0,583.0,1431.0,0.0,16.0,20.0,21.0
1352.0,765.0,720.0,309.0,123.0,1711.0,402.0,420.0,65.0,15.0,131.0,1546.0,819.0,1530.0,1.0,30.0,43.0,18.0
1400.0,336.0,852.0,409.0,44.0,1438.0,534.0,579.0,137.0,31.0,207.0,1356.0,1084.0,1416.0,2.0,56.0,67.0,52.0
1234.0,199.0,998.0,574.0,17.0,1082.0,722.0,766.0,228.0,53.0,332.0,1164.0,1143.0,1154.0,1.0,106.0,133.0,94.0
1028.0,106.0,1084.0,702.0,4.0,896.0,871.0,841.0,366.0,92.0,462.0,994.0,1079.0,957.0,1.0,161.0,191.0,165.0
847.0,58.0,1116.0,839.0,4.0,612.0,967.0,1009.0,421.0,123.0,548.0,768.0,1154.0,794.0,4.0,229.0,286.0,221.0
635.0,32.0,1061.0,890.0,1.0,502.0,996.0,1062.0,626.0,220.0,724.0,611.0,904.0,630.0,4.0,368.0,390.0,344.0
485.0,13.0,859.0,1022.0,1.0,340.0,1094.0,1030.0,764.0,316.0,848.0,467.0,796.0,494.0,14.0,466.0,524.0,467.0
368.0,3.0,730.0,1024.0,0.0,230.0,972.0,978.0,948.0,462.0,941.0,329.0,658.0,343.0,24.0,627.0,689.0,674.0
258.0,2.0,613.0,980.0,0.0,148.0,878.0,840.0,1061.0,627.0,1083.0,209.0,554.0,220.0,61.0,851.0,884.0,731.0
171.0,1.0,508.0,897.0,0.0,100.0,758.0,702.0,1148.0,851.0,1102.0,138.0,378.0,149.0,105.0,1039.0,1019.0,934.0
102.0,1.0,357.0,788.0,0.0,49.0,572.0,547.0,1153.0,1182.0,1066.0,96.0,278.0,83.0,223.0,1177.0,1143.0,1183.0
62.0,1.0,238.0,596.0,0.0,35.0,409.0,391.0,1114.0,1424.0,968.0,61.0,195.0,51.0,419.0,1353.0,1323.0,1360.0
35.0,0.0,135.0,423.0,0.0,7.0,292.0,267.0,995.0,1751.0,789.0,29.0,112.0,25.0,781.0,1476.0,1379.0,1504.0
6.0,0.0,77.0,269.0,0.0,7.0,160.0,173.0,697.0,1921.0,559.0,7.0,59.0,13.0,1839.0,1418.0,1288.0,1507.0
2.0,0.0,16.0,71.0,0.0,1.0,34.0,47.0,236.0,926.0,168.0,4.0,5.0,1.0,6521.0,625.0,621.0,722.0
