Barcelona,Real Madrid,Alavés,Sevilla,Real Betis,Deportivo La Coruña,Espanyol,Atlético Madrid,Athletic Club,Racing Santander,Real Sociedad,Osasuna,Levante,Getafe,Rayo Vallecano,Celta Vigo,Villarreal,Málaga,Elche,Valencia
7954.0,1915.0,3.0,3.0,58.0,1.0,2.0,42.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
1835.0,6460.0,102.0,46.0,554.0,16.0,16.0,515.0,14.0,2.0,75.0,18.0,12.0,9.0,16.0,20.0,289.0,0.0,0.0,1.0
182.0,1105.0,750.0,324.0,2332.0,248.0,233.0,2148.0,127.0,23.0,470.0,108.0,174.0,93.0,129.0,209.0,1318.0,0.0,19.0,8.0
18.0,310.0,974.0,565.0,1815.0,379.0,344.0,1752.0,275.0,75.0,714.0,256.0,279.0,161.0,234.0,302.0,1484.0,0.0,49.0,14.0
9.0,111.0,1060.0,653.0,1329.0,532.0,513.0,1247.0,350.0,114.0,861.0,366.0,385.0,300.0,306.0,422.0,1322.0,0.0,68.0,52.0
2.0,48.0,1015.0,763.0,982.0,568.0,552.0,1028.0,467.0,147.0,864.0,484.0,497.0,349.0,390.0,552.0,1101.0,0.0,134.0,57.0
0.0,25.0,900.0,755.0,741.0,679.0,686.0,785.0,524.0,210.0,868.0,549.0,606.0,416.0,496.0,591.0,875.0,0.0,199.0,95.0
0.0,11.0,870.0,780.0,589.0,707.0,727.0,591.0,616.0,280.0,813.0,580.0,654.0,491.0,541.0,639.0,742.0,0.0,222.0,147.0
0.0,9.0,790.0,757.0,375.0,739.0,684.0,467.0,723.0,332.0,815.0,654.0,672.0,605.0,603.0,688.0,633.0,3.0,276.0,175.0
0.0,3.0,641.0,815.0,301.0,754.0,716.0,350.0,692.0,429.0,739.0,768.0,659.0,600.0,689.0,723.0,501.0,2.0,387.0,231.0
0.0,1.0,569.0,708.0,260.0,755.0,718.0,265.0,754.0,467.0,673.0,781.0,765.0,692.0,664.0,787.0,384.0,5.0,429.0,323.0
0.0,2.0,536.0,708.0,199.0,746.0,750.0,234.0,767.0,565.0,633.0,733.0,730.0,699.0,724.0,733.0,338.0,5.0,538.0,360.0
0.0,0.0,451.0,642.0,172.0,675.0,727.0,156.0,765.0,683.0,555.0,815.0,736.0,748.0,753.0,748.0,288.0,18.0,583.0,485.0
0.0,0.0,361.0,627.0,106.0,694.0,751.0,145.0,727.0,779.0,500.0,712.0,728.0,812.0,819.0,747.0,225.0,27.0,715.0,525.0
0.0,0.0,324.0,533.0,77.0,661.0,679.0,92.0,738.0,900.0,402.0,759.0,694.0,833.0,798.0,734.0,176.0,28.0,863.0,709.0
0.0,0.0,244.0,477.0,50.0,602.0,593.0,85.0,726.0,984.0,365.0,727.0,723.0,843.0,765.0,675.0,123.0,80.0,1014.0,924.0
0.0,0.0,198.0,379.0,41.0,510.0,509.0,49.0,680.0,1230.0,310.0,643.0,636.0,832.0,777.0,587.0,91.0,146.0,1191.0,1191.0
0.0,0.0,131.0,289.0,15.0,422.0,439.0,32.0,589.0,1281.0,201.0,564.0,588.0,793.0,696.0,479.0,57.0,373.0,1451.0,1600.0
0.0,0.0,73.0,167.0,3.0,279.0,320.0,17.0,400.0,1207.0,131.0,409.0,398.0,632.0,515.0,311.0,30.0,1202.0,1482.0,2424.0
0.0,0.0,8.0,9.0,1.0,33.0,41.0,0.0,65.0,292.0,9.0,74.0,63.0,92.0,85.0,53.0,5.0,8111.0,380.0,679.0
