AS Monaco,Stade Rennais,Lyon,Paris FC,Lille,Strasbourg,Brest,Lorient,Angers,Troyes,Lens,Marseille,AJ Auxerre,Paris Saint-Germain,Le Mans,Le Havre AC,Toulouse,Nice
1414.0,1091.0,1066.0,297.0,1406.0,476.0,33.0,69.0,1.0,0.0,1309.0,184.0,3.0,2636.0,0.0,1.0,14.0,0.0
1444.0,1184.0,1128.0,481.0,1332.0,662.0,74.0,122.0,5.0,0.0,1318.0,343.0,14.0,1855.0,0.0,6.0,31.0,1.0
1315.0,1167.0,1121.0,656.0,1312.0,831.0,119.0,203.0,12.0,2.0,1264.0,474.0,26.0,1396.0,1.0,13.0,84.0,4.0
1159.0,1152.0,1101.0,807.0,1258.0,974.0,187.0,289.0,17.0,1.0,1161.0,576.0,45.0,1118.0,7.0,24.0,119.0,5.0
1082.0,1088.0,1087.0,929.0,1072.0,978.0,264.0,441.0,43.0,4.0,1093.0,739.0,65.0,873.0,4.0,42.0,189.0,7.0
923.0,983.0,1063.0,983.0,937.0,1125.0,384.0,526.0,67.0,10.0,954.0,849.0,129.0,710.0,19.0,68.0,251.0,19.0
755.0,921.0,925.0,1066.0,776.0,1121.0,518.0,702.0,109.0,19.0,827.0,1022.0,186.0,497.0,32.0,121.0,372.0,31.0
579.0,741.0,745.0,1083.0,632.0,992.0,748.0,894.0,181.0,40.0,672.0,1169.0,286.0,330.0,78.0,220.0,554.0,56.0
498.0,603.0,631.0,982.0,460.0,857.0,921.0,1082.0,308.0,53.0,523.0,1075.0,466.0,252.0,99.0,326.0,769.0,95.0
342.0,448.0,436.0,855.0,324.0,721.0,1077.0,1182.0,481.0,114.0,360.0,1010.0,676.0,138.0,169.0,510.0,978.0,179.0
199.0,262.0,329.0,625.0,223.0,475.0,1201.0,1147.0,744.0,220.0,235.0,910.0,810.0,100.0,318.0,774.0,1133.0,295.0
124.0,171.0,178.0,496.0,134.0,339.0,1176.0,1037.0,977.0,343.0,134.0,638.0,1072.0,59.0,517.0,956.0,1219.0,430.0
96.0,104.0,108.0,353.0,73.0,211.0,1016.0,794.0,1225.0,552.0,88.0,445.0,1215.0,23.0,716.0,1203.0,1148.0,630.0
47.0,42.0,42.0,175.0,40.0,127.0,830.0,618.0,1355.0,767.0,40.0,277.0,1275.0,4.0,1035.0,1358.0,1035.0,933.0
14.0,27.0,24.0,118.0,11.0,51.0,639.0,426.0,1418.0,1121.0,12.0,150.0,1211.0,4.0,1343.0,1354.0,848.0,1229.0
6.0,10.0,11.0,60.0,8.0,42.0,432.0,287.0,1240.0,1588.0,5.0,83.0,1110.0,4.0,1646.0,1221.0,594.0,1653.0
2.0,6.0,5.0,25.0,2.0,16.0,263.0,132.0,1079.0,2143.0,4.0,44.0,825.0,1.0,1931.0,1027.0,423.0,2072.0
1.0,0.0,0.0,9.0,0.0,2.0,118.0,49.0,738.0,3023.0,1.0,12.0,586.0,0.0,2085.0,776.0,239.0,2361.0
