Lazio,AS Roma,Internazionale,Cagliari,AC Milan,Como,Juventus,Frosinone,Atalanta,Sassuolo,Udinese,Napoli,Torino,Lecce,Fiorentina,Bologna,Parma,Monza,Genoa,Venezia
76.0,2302.0,4949.0,8.0,150.0,1708.0,610.0,2.0,55.0,2.0,9.0,127.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
215.0,2634.0,2563.0,35.0,447.0,2333.0,1143.0,8.0,200.0,35.0,47.0,328.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
495.0,1970.0,1266.0,103.0,841.0,2310.0,1720.0,26.0,452.0,69.0,84.0,613.0,13.0,3.0,5.0,30.0,0.0,0.0,0.0,0.0
836.0,1248.0,614.0,240.0,1302.0,1485.0,1828.0,92.0,816.0,170.0,232.0,969.0,31.0,9.0,18.0,93.0,8.0,0.0,9.0,0.0
1155.0,796.0,334.0,401.0,1462.0,896.0,1524.0,181.0,1055.0,270.0,378.0,1223.0,62.0,18.0,54.0,162.0,9.0,0.0,20.0,0.0
1236.0,472.0,146.0,577.0,1427.0,553.0,1119.0,302.0,1237.0,468.0,557.0,1296.0,120.0,37.0,95.0,285.0,26.0,1.0,46.0,0.0
1282.0,270.0,65.0,805.0,1221.0,320.0,723.0,474.0,1232.0,616.0,750.0,1293.0,177.0,73.0,144.0,421.0,54.0,1.0,79.0,0.0
1165.0,141.0,26.0,921.0,896.0,175.0,504.0,654.0,1204.0,826.0,940.0,1094.0,321.0,101.0,241.0,562.0,87.0,4.0,138.0,0.0
955.0,77.0,19.0,1070.0,712.0,116.0,339.0,736.0,966.0,970.0,1063.0,900.0,452.0,217.0,325.0,700.0,150.0,16.0,217.0,0.0
691.0,39.0,11.0,1051.0,537.0,47.0,211.0,971.0,844.0,1058.0,1040.0,666.0,587.0,326.0,480.0,872.0,223.0,17.0,328.0,1.0
604.0,26.0,3.0,1055.0,369.0,29.0,112.0,1016.0,622.0,1028.0,985.0,511.0,748.0,456.0,605.0,1023.0,331.0,41.0,433.0,3.0
440.0,15.0,2.0,922.0,218.0,16.0,70.0,1037.0,452.0,1002.0,982.0,371.0,869.0,520.0,799.0,1110.0,495.0,59.0,616.0,5.0
342.0,4.0,0.0,806.0,194.0,6.0,46.0,962.0,331.0,912.0,827.0,254.0,1035.0,770.0,913.0,1076.0,648.0,99.0,759.0,16.0
205.0,5.0,2.0,672.0,102.0,2.0,27.0,995.0,229.0,845.0,697.0,168.0,1107.0,931.0,1062.0,971.0,858.0,175.0,921.0,26.0
160.0,0.0,0.0,540.0,66.0,3.0,16.0,860.0,158.0,598.0,555.0,86.0,1151.0,1219.0,1178.0,834.0,1066.0,323.0,1138.0,49.0
74.0,0.0,0.0,382.0,35.0,1.0,3.0,720.0,85.0,481.0,380.0,56.0,1125.0,1349.0,1206.0,755.0,1347.0,544.0,1305.0,152.0
41.0,0.0,0.0,236.0,8.0,0.0,3.0,500.0,40.0,360.0,272.0,32.0,995.0,1431.0,1218.0,568.0,1589.0,943.0,1475.0,289.0
24.0,1.0,0.0,128.0,12.0,0.0,1.0,324.0,17.0,206.0,136.0,9.0,773.0,1454.0,981.0,347.0,1735.0,1749.0,1441.0,662.0
2.0,0.0,0.0,44.0,1.0,0.0,1.0,118.0,4.0,70.0,55.0,4.0,353.0,866.0,553.0,157.0,1082.0,3718.0,860.0,2112.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,1.0,14.0,11.0,0.0,78.0,220.0,122.0,24.0,292.0,2310.0,215.0,6685.0
