PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,FC Twente,Ajax Amsterdam,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7957.0,403.0,912.0,302.0,385.0,6.0,0.0,11.0,3.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1418.0,1704.0,3324.0,1376.0,1788.0,64.0,11.0,77.0,55.0,143.0,15.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0
436.0,2083.0,2364.0,1885.0,2165.0,169.0,45.0,214.0,160.0,336.0,61.0,3.0,13.0,66.0,0.0,0.0,0.0,0.0
134.0,2005.0,1485.0,2034.0,2022.0,367.0,109.0,436.0,372.0,658.0,152.0,9.0,43.0,172.0,0.0,2.0,0.0,0.0
34.0,1553.0,936.0,1763.0,1551.0,682.0,214.0,835.0,663.0,1013.0,313.0,18.0,88.0,333.0,0.0,4.0,0.0,0.0
16.0,892.0,478.0,1113.0,900.0,1027.0,424.0,1180.0,1051.0,1409.0,596.0,51.0,220.0,634.0,0.0,9.0,0.0,0.0
3.0,576.0,255.0,614.0,528.0,1257.0,659.0,1252.0,1231.0,1458.0,790.0,120.0,342.0,892.0,3.0,20.0,0.0,0.0
2.0,350.0,134.0,428.0,278.0,1284.0,894.0,1319.0,1372.0,1287.0,874.0,198.0,502.0,1023.0,11.0,41.0,1.0,2.0
0.0,211.0,63.0,230.0,179.0,1291.0,1088.0,1186.0,1284.0,1090.0,1162.0,305.0,647.0,1150.0,11.0,100.0,2.0,1.0
0.0,120.0,34.0,117.0,107.0,1113.0,1337.0,1076.0,1095.0,912.0,1250.0,470.0,885.0,1296.0,29.0,156.0,3.0,0.0
0.0,57.0,13.0,79.0,58.0,983.0,1372.0,927.0,971.0,693.0,1376.0,723.0,1134.0,1267.0,41.0,286.0,11.0,9.0
0.0,31.0,2.0,42.0,21.0,782.0,1364.0,662.0,773.0,495.0,1274.0,1142.0,1535.0,1183.0,128.0,509.0,38.0,19.0
0.0,9.0,0.0,15.0,14.0,547.0,1186.0,441.0,539.0,304.0,1072.0,1672.0,1751.0,977.0,302.0,997.0,97.0,77.0
0.0,3.0,0.0,2.0,3.0,286.0,809.0,261.0,284.0,126.0,647.0,2369.0,1553.0,658.0,759.0,1661.0,358.0,221.0
0.0,3.0,0.0,0.0,1.0,114.0,363.0,101.0,112.0,44.0,316.0,1734.0,888.0,232.0,1771.0,2748.0,862.0,711.0
0.0,0.0,0.0,0.0,0.0,25.0,100.0,16.0,28.0,11.0,82.0,832.0,307.0,69.0,3146.0,1986.0,1920.0,1478.0
0.0,0.0,0.0,0.0,0.0,3.0,23.0,4.0,6.0,2.0,16.0,284.0,67.0,23.0,2399.0,1035.0,3223.0,2915.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,70.0,21.0,2.0,1400.0,446.0,3485.0,4567.0
