Barcelona,Real Madrid,Alavés,Atlético Madrid,Sevilla,Deportivo La Coruña,Real Betis,Espanyol,Athletic Club,Racing Santander,Osasuna,Real Sociedad,Levante,Getafe,Celta Vigo,Rayo Vallecano,Málaga,Villarreal,Elche,Valencia
8503.0,1390.0,1.0,69.0,2.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
1373.0,6690.0,104.0,932.0,38.0,17.0,501.0,21.0,12.0,3.0,8.0,22.0,7.0,4.0,12.0,15.0,0.0,240.0,1.0,0.0
105.0,1302.0,686.0,3213.0,277.0,203.0,2081.0,164.0,123.0,28.0,121.0,149.0,64.0,65.0,96.0,115.0,0.0,1178.0,25.0,5.0
14.0,403.0,945.0,2025.0,549.0,397.0,1984.0,376.0,281.0,54.0,234.0,386.0,169.0,135.0,197.0,221.0,0.0,1566.0,40.0,24.0
3.0,118.0,1093.0,1311.0,719.0,574.0,1459.0,515.0,402.0,100.0,426.0,491.0,314.0,230.0,332.0,326.0,0.0,1444.0,92.0,51.0
2.0,59.0,1077.0,808.0,892.0,653.0,1066.0,623.0,508.0,180.0,512.0,641.0,417.0,308.0,441.0,403.0,1.0,1209.0,131.0,69.0
0.0,20.0,1023.0,505.0,847.0,738.0,787.0,694.0,631.0,256.0,614.0,706.0,474.0,406.0,480.0,547.0,0.0,968.0,190.0,114.0
0.0,8.0,917.0,363.0,834.0,759.0,514.0,782.0,648.0,307.0,673.0,775.0,536.0,463.0,630.0,620.0,0.0,735.0,278.0,158.0
0.0,4.0,773.0,265.0,808.0,798.0,442.0,753.0,686.0,372.0,689.0,757.0,633.0,557.0,726.0,620.0,3.0,609.0,314.0,191.0
0.0,2.0,686.0,160.0,741.0,783.0,341.0,772.0,677.0,456.0,745.0,778.0,650.0,669.0,730.0,710.0,4.0,490.0,350.0,256.0
0.0,3.0,597.0,116.0,734.0,744.0,242.0,766.0,722.0,503.0,774.0,762.0,733.0,670.0,726.0,710.0,12.0,379.0,434.0,373.0
0.0,0.0,509.0,81.0,701.0,701.0,158.0,729.0,782.0,588.0,757.0,756.0,695.0,727.0,768.0,768.0,23.0,341.0,528.0,388.0
0.0,0.0,424.0,56.0,621.0,651.0,134.0,707.0,746.0,726.0,748.0,740.0,737.0,738.0,773.0,767.0,32.0,255.0,628.0,517.0
0.0,1.0,311.0,38.0,572.0,667.0,86.0,673.0,799.0,782.0,741.0,659.0,816.0,798.0,748.0,735.0,33.0,173.0,750.0,618.0
0.0,0.0,297.0,24.0,476.0,596.0,73.0,602.0,682.0,870.0,717.0,618.0,791.0,811.0,761.0,771.0,95.0,138.0,902.0,776.0
0.0,0.0,207.0,19.0,418.0,580.0,50.0,598.0,691.0,1009.0,677.0,540.0,815.0,838.0,726.0,755.0,141.0,105.0,936.0,895.0
0.0,0.0,162.0,7.0,323.0,480.0,29.0,536.0,575.0,1119.0,611.0,488.0,739.0,858.0,706.0,655.0,283.0,89.0,1160.0,1180.0
0.0,0.0,107.0,6.0,265.0,371.0,17.0,372.0,551.0,1172.0,540.0,420.0,735.0,840.0,592.0,659.0,557.0,49.0,1299.0,1448.0
0.0,0.0,67.0,2.0,146.0,244.0,8.0,262.0,379.0,1104.0,334.0,253.0,550.0,704.0,447.0,494.0,1512.0,26.0,1427.0,2041.0
0.0,0.0,14.0,0.0,37.0,43.0,1.0,55.0,105.0,371.0,79.0,59.0,125.0,179.0,109.0,108.0,7304.0,0.0,515.0,896.0
