Arsenal,Manchester City,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Newcastle United,Leeds United,Nottingham Forest,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5308.0,4208.0,1.0,147.0,52.0,44.0,71.0,14.0,0.0,15.0,19.0,16.0,91.0,1.0,9.0,0.0,0.0,2.0,2.0,0.0
3440.0,4187.0,48.0,637.0,223.0,225.0,301.0,92.0,2.0,130.0,113.0,95.0,394.0,15.0,69.0,1.0,2.0,7.0,19.0,0.0
777.0,924.0,121.0,1667.0,816.0,813.0,1052.0,447.0,1.0,548.0,468.0,390.0,1340.0,91.0,368.0,21.0,14.0,41.0,101.0,0.0
274.0,339.0,228.0,1441.0,967.0,957.0,1141.0,565.0,16.0,676.0,592.0,540.0,1250.0,155.0,505.0,50.0,48.0,60.0,196.0,0.0
108.0,141.0,302.0,1164.0,981.0,915.0,1120.0,675.0,21.0,765.0,636.0,646.0,1152.0,219.0,603.0,80.0,62.0,144.0,266.0,0.0
49.0,90.0,366.0,1019.0,878.0,896.0,1012.0,678.0,39.0,805.0,706.0,728.0,1026.0,315.0,652.0,116.0,87.0,177.0,361.0,0.0
12.0,43.0,478.0,834.0,943.0,927.0,869.0,713.0,52.0,809.0,758.0,697.0,836.0,363.0,736.0,169.0,137.0,224.0,400.0,0.0
10.0,24.0,519.0,658.0,823.0,861.0,783.0,766.0,62.0,846.0,729.0,755.0,787.0,475.0,715.0,226.0,179.0,319.0,463.0,0.0
11.0,19.0,663.0,567.0,748.0,736.0,737.0,796.0,84.0,782.0,750.0,753.0,656.0,549.0,766.0,255.0,224.0,367.0,537.0,0.0
1.0,11.0,661.0,463.0,666.0,699.0,637.0,759.0,132.0,746.0,763.0,750.0,605.0,600.0,794.0,336.0,323.0,465.0,589.0,0.0
3.0,4.0,699.0,379.0,652.0,678.0,512.0,805.0,174.0,676.0,756.0,764.0,442.0,692.0,784.0,397.0,371.0,519.0,693.0,0.0
5.0,3.0,778.0,276.0,558.0,551.0,435.0,717.0,235.0,636.0,715.0,734.0,378.0,756.0,811.0,502.0,468.0,642.0,800.0,0.0
1.0,4.0,843.0,217.0,477.0,448.0,363.0,673.0,341.0,592.0,667.0,690.0,346.0,800.0,742.0,629.0,563.0,771.0,833.0,0.0
1.0,1.0,871.0,167.0,384.0,373.0,306.0,621.0,437.0,562.0,586.0,656.0,216.0,910.0,667.0,797.0,683.0,891.0,871.0,0.0
0.0,2.0,897.0,141.0,285.0,290.0,255.0,520.0,683.0,451.0,536.0,586.0,202.0,935.0,559.0,931.0,882.0,965.0,877.0,3.0
0.0,0.0,779.0,115.0,257.0,263.0,189.0,430.0,946.0,376.0,482.0,467.0,134.0,956.0,481.0,1115.0,1114.0,1065.0,827.0,4.0
0.0,0.0,727.0,66.0,142.0,161.0,116.0,394.0,1360.0,285.0,348.0,367.0,82.0,898.0,355.0,1346.0,1339.0,1150.0,846.0,18.0
0.0,0.0,629.0,35.0,108.0,120.0,75.0,209.0,2024.0,201.0,233.0,246.0,40.0,770.0,230.0,1484.0,1581.0,1142.0,797.0,76.0
0.0,0.0,380.0,7.0,38.0,43.0,24.0,123.0,3199.0,98.0,140.0,119.0,23.0,487.0,153.0,1488.0,1836.0,1006.0,505.0,331.0
0.0,0.0,10.0,0.0,2.0,0.0,2.0,3.0,192.0,1.0,3.0,1.0,0.0,13.0,1.0,57.0,87.0,43.0,17.0,9568.0
