Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
6993.0,3004.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2983.0,6900.0,81.0,23.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,87.0,4905.0,2517.0,1146.0,1020.0,247.0,12.0,16.0,4.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2582.0,3007.0,1817.0,1673.0,652.0,36.0,97.0,27.0,25.0,1.0,1.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1355.0,2116.0,2329.0,2196.0,1238.0,125.0,269.0,66.0,88.0,6.0,6.0,201.0,3.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,673.0,1365.0,2044.0,2194.0,1866.0,297.0,568.0,202.0,226.0,18.0,22.0,502.0,13.0,2.0,7.0,1.0,0.0,0.0
0.0,0.0,278.0,599.0,1352.0,1460.0,2322.0,768.0,1117.0,464.0,517.0,65.0,84.0,901.0,44.0,8.0,17.0,4.0,0.0,0.0
0.0,0.0,82.0,212.0,669.0,772.0,1541.0,1239.0,1716.0,834.0,953.0,167.0,247.0,1361.0,120.0,24.0,46.0,16.0,1.0,0.0
0.0,0.0,29.0,97.0,352.0,400.0,938.0,1547.0,1641.0,1122.0,1262.0,284.0,397.0,1510.0,233.0,58.0,97.0,32.0,1.0,0.0
0.0,0.0,9.0,48.0,151.0,174.0,526.0,1619.0,1368.0,1282.0,1468.0,475.0,731.0,1364.0,367.0,148.0,168.0,100.0,2.0,0.0
0.0,0.0,2.0,12.0,79.0,75.0,325.0,1417.0,1093.0,1375.0,1448.0,650.0,980.0,1282.0,581.0,221.0,288.0,166.0,6.0,0.0
0.0,0.0,1.0,4.0,33.0,14.0,189.0,1171.0,817.0,1302.0,1225.0,933.0,1256.0,1006.0,859.0,414.0,465.0,294.0,17.0,0.0
0.0,0.0,0.0,0.0,15.0,13.0,98.0,784.0,564.0,1153.0,994.0,1215.0,1455.0,709.0,1082.0,652.0,689.0,547.0,30.0,0.0
0.0,0.0,0.0,0.0,3.0,4.0,38.0,505.0,379.0,884.0,782.0,1463.0,1374.0,491.0,1383.0,898.0,974.0,748.0,74.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,10.0,267.0,184.0,618.0,480.0,1536.0,1241.0,303.0,1475.0,1287.0,1340.0,1097.0,159.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,134.0,101.0,372.0,298.0,1393.0,995.0,173.0,1479.0,1618.0,1602.0,1518.0,308.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,68.0,55.0,205.0,150.0,1061.0,732.0,86.0,1198.0,1877.0,1884.0,1992.0,689.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,76.0,60.0,608.0,387.0,24.0,953.0,1946.0,1783.0,2438.0,1671.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,14.0,125.0,92.0,3.0,207.0,836.0,625.0,1035.0,6693.0,354.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,15.0,12.0,349.0,9613.0
