SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
79.0,1867.0,8.0,7652.0,208.0,0.0,104.0,4.0,2.0,0.0,0.0,2.0,13.0,61.0,0.0,0.0,0.0,0.0
559.0,4694.0,130.0,1837.0,1176.0,11.0,734.0,43.0,54.0,6.0,0.0,12.0,169.0,572.0,0.0,3.0,0.0,0.0
1231.0,1749.0,444.0,350.0,2179.0,48.0,1579.0,210.0,211.0,31.0,4.0,49.0,549.0,1345.0,0.0,11.0,7.0,3.0
1417.0,801.0,647.0,124.0,1796.0,125.0,1729.0,376.0,405.0,80.0,14.0,129.0,833.0,1462.0,0.0,22.0,23.0,17.0
1412.0,408.0,919.0,24.0,1379.0,230.0,1448.0,512.0,534.0,155.0,37.0,221.0,1068.0,1526.0,1.0,53.0,50.0,23.0
1278.0,247.0,1046.0,9.0,1033.0,357.0,1305.0,764.0,767.0,243.0,51.0,330.0,1090.0,1234.0,0.0,99.0,115.0,32.0
1064.0,121.0,1095.0,4.0,773.0,515.0,964.0,949.0,927.0,352.0,98.0,482.0,1219.0,1040.0,2.0,160.0,144.0,91.0
893.0,55.0,1126.0,0.0,531.0,675.0,690.0,1093.0,1008.0,477.0,153.0,665.0,1175.0,810.0,7.0,264.0,252.0,126.0
693.0,31.0,1059.0,0.0,364.0,876.0,528.0,1055.0,1105.0,672.0,256.0,768.0,1012.0,660.0,8.0,334.0,343.0,236.0
475.0,17.0,933.0,0.0,224.0,1009.0,347.0,1124.0,1072.0,856.0,385.0,932.0,827.0,442.0,14.0,536.0,493.0,314.0
355.0,5.0,788.0,0.0,141.0,1055.0,240.0,998.0,1019.0,1014.0,508.0,1032.0,676.0,352.0,40.0,730.0,588.0,459.0
234.0,2.0,618.0,0.0,85.0,1132.0,125.0,814.0,822.0,1148.0,747.0,1147.0,512.0,216.0,78.0,876.0,840.0,604.0
137.0,2.0,453.0,0.0,56.0,1075.0,104.0,677.0,745.0,1144.0,976.0,1075.0,329.0,132.0,143.0,1119.0,1008.0,825.0
83.0,0.0,308.0,0.0,36.0,982.0,45.0,550.0,525.0,1161.0,1212.0,1048.0,247.0,74.0,219.0,1235.0,1209.0,1066.0
55.0,0.0,238.0,0.0,11.0,773.0,35.0,397.0,385.0,1028.0,1420.0,859.0,150.0,46.0,467.0,1302.0,1416.0,1418.0
24.0,1.0,117.0,0.0,4.0,656.0,13.0,265.0,248.0,835.0,1653.0,673.0,82.0,21.0,896.0,1437.0,1401.0,1674.0
9.0,0.0,63.0,0.0,4.0,374.0,8.0,133.0,136.0,601.0,1677.0,448.0,41.0,7.0,1865.0,1213.0,1420.0,2001.0
2.0,0.0,8.0,0.0,0.0,107.0,2.0,36.0,35.0,197.0,809.0,128.0,8.0,0.0,6260.0,606.0,691.0,1111.0
