West Ham United,Swansea City,West Bromwich Albion,Middlesbrough,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Southampton,Birmingham City,Stoke City,Bristol City,Norwich City,Millwall,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6930.0,85.0,20.0,557.0,6.0,0.0,1630.0,618.0,28.0,4.0,14.0,36.0,57.0,4.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0
1906.0,399.0,118.0,1579.0,52.0,10.0,3356.0,1756.0,126.0,27.0,91.0,173.0,290.0,52.0,5.0,0.0,7.0,6.0,32.0,0.0,0.0,10.0,0.0,5.0
702.0,764.0,293.0,1953.0,126.0,33.0,2025.0,2187.0,276.0,105.0,226.0,369.0,610.0,141.0,15.0,0.0,15.0,18.0,79.0,0.0,0.0,27.0,3.0,33.0
256.0,1086.0,501.0,1700.0,264.0,98.0,1225.0,1666.0,508.0,146.0,384.0,586.0,847.0,274.0,67.0,3.0,48.0,35.0,173.0,0.0,0.0,78.0,4.0,51.0
98.0,1128.0,666.0,1164.0,414.0,165.0,664.0,1117.0,695.0,289.0,519.0,792.0,1100.0,424.0,96.0,9.0,85.0,79.0,261.0,0.0,0.0,137.0,12.0,86.0
54.0,1093.0,821.0,819.0,481.0,259.0,429.0,785.0,764.0,346.0,656.0,922.0,973.0,532.0,155.0,11.0,96.0,117.0,331.0,2.0,1.0,203.0,22.0,128.0
32.0,958.0,793.0,628.0,601.0,321.0,232.0,542.0,779.0,470.0,738.0,900.0,934.0,613.0,220.0,23.0,180.0,151.0,448.0,4.0,1.0,243.0,30.0,159.0
12.0,805.0,844.0,448.0,625.0,408.0,162.0,390.0,839.0,557.0,738.0,881.0,881.0,635.0,274.0,52.0,196.0,217.0,466.0,5.0,5.0,303.0,38.0,219.0
6.0,724.0,772.0,344.0,647.0,455.0,101.0,286.0,755.0,652.0,714.0,799.0,763.0,714.0,329.0,56.0,276.0,276.0,581.0,6.0,7.0,371.0,55.0,311.0
1.0,605.0,791.0,247.0,707.0,483.0,71.0,204.0,753.0,661.0,716.0,721.0,671.0,723.0,404.0,89.0,343.0,328.0,574.0,17.0,8.0,444.0,88.0,351.0
2.0,533.0,710.0,173.0,740.0,587.0,46.0,106.0,722.0,693.0,709.0,694.0,542.0,748.0,474.0,113.0,392.0,363.0,624.0,16.0,11.0,469.0,117.0,416.0
0.0,416.0,664.0,126.0,668.0,631.0,14.0,117.0,643.0,669.0,669.0,598.0,519.0,744.0,541.0,137.0,482.0,461.0,688.0,37.0,12.0,552.0,165.0,447.0
1.0,344.0,573.0,82.0,680.0,722.0,21.0,81.0,588.0,669.0,624.0,505.0,387.0,661.0,610.0,223.0,516.0,544.0,713.0,36.0,28.0,585.0,215.0,592.0
0.0,304.0,531.0,67.0,698.0,677.0,10.0,51.0,521.0,679.0,621.0,460.0,336.0,628.0,667.0,300.0,570.0,579.0,707.0,47.0,37.0,647.0,226.0,637.0
0.0,210.0,449.0,33.0,607.0,756.0,9.0,37.0,474.0,688.0,545.0,365.0,286.0,584.0,734.0,384.0,665.0,691.0,631.0,84.0,62.0,694.0,324.0,688.0
0.0,174.0,378.0,30.0,578.0,755.0,2.0,25.0,391.0,676.0,522.0,338.0,226.0,539.0,751.0,391.0,749.0,721.0,712.0,129.0,97.0,730.0,396.0,690.0
0.0,122.0,320.0,18.0,506.0,700.0,1.0,15.0,349.0,595.0,428.0,256.0,192.0,515.0,811.0,554.0,807.0,762.0,663.0,188.0,133.0,796.0,520.0,749.0
0.0,99.0,255.0,11.0,454.0,734.0,1.0,6.0,265.0,548.0,351.0,192.0,130.0,445.0,798.0,699.0,880.0,859.0,570.0,263.0,210.0,772.0,651.0,807.0
0.0,70.0,197.0,9.0,426.0,638.0,0.0,6.0,193.0,489.0,235.0,146.0,106.0,362.0,809.0,915.0,840.0,922.0,516.0,391.0,305.0,753.0,827.0,845.0
0.0,39.0,151.0,9.0,291.0,564.0,0.0,2.0,153.0,415.0,231.0,123.0,80.0,278.0,727.0,1073.0,904.0,896.0,440.0,626.0,515.0,655.0,1008.0,820.0
0.0,25.0,77.0,1.0,205.0,454.0,1.0,3.0,90.0,316.0,137.0,84.0,46.0,206.0,650.0,1347.0,784.0,795.0,376.0,922.0,805.0,622.0,1308.0,746.0
0.0,13.0,47.0,2.0,141.0,335.0,0.0,0.0,56.0,188.0,85.0,27.0,15.0,128.0,485.0,1529.0,650.0,601.0,235.0,1482.0,1385.0,462.0,1530.0,604.0
0.0,3.0,26.0,0.0,65.0,157.0,0.0,0.0,25.0,83.0,41.0,24.0,6.0,41.0,259.0,1298.0,351.0,385.0,136.0,2451.0,2484.0,293.0,1456.0,416.0
0.0,1.0,3.0,0.0,18.0,58.0,0.0,0.0,7.0,35.0,6.0,9.0,3.0,9.0,116.0,794.0,164.0,193.0,38.0,3294.0,3894.0,153.0,1005.0,200.0
