FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Académico de Viseu,Braga,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Moreirense,Rio Ave,Estoril,Casa Pia
3644.0,3757.0,2573.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3261.0,3243.0,3313.0,20.0,3.0,1.0,0.0,154.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2765.0,2676.0,3700.0,122.0,18.0,5.0,0.0,651.0,43.0,1.0,1.0,0.0,15.0,1.0,0.0,0.0,2.0,0.0
304.0,293.0,377.0,1923.0,509.0,320.0,27.0,4931.0,701.0,12.0,30.0,16.0,455.0,30.0,18.0,6.0,48.0,0.0
23.0,24.0,32.0,2662.0,1099.0,762.0,113.0,2056.0,1482.0,60.0,135.0,119.0,1055.0,130.0,80.0,30.0,137.0,1.0
3.0,6.0,4.0,1784.0,1362.0,1108.0,247.0,1004.0,1753.0,150.0,238.0,192.0,1404.0,231.0,170.0,78.0,260.0,6.0
0.0,1.0,1.0,1206.0,1463.0,1290.0,403.0,555.0,1376.0,261.0,470.0,336.0,1445.0,416.0,274.0,107.0,387.0,9.0
0.0,0.0,0.0,853.0,1316.0,1301.0,537.0,285.0,1206.0,405.0,605.0,493.0,1311.0,547.0,370.0,199.0,556.0,16.0
0.0,0.0,0.0,544.0,1091.0,1192.0,709.0,168.0,964.0,564.0,799.0,621.0,1107.0,686.0,529.0,277.0,734.0,15.0
0.0,0.0,0.0,342.0,897.0,1010.0,874.0,89.0,740.0,684.0,832.0,819.0,913.0,841.0,677.0,402.0,827.0,53.0
0.0,0.0,0.0,210.0,654.0,813.0,1070.0,40.0,563.0,891.0,958.0,907.0,675.0,984.0,748.0,497.0,918.0,72.0
0.0,0.0,0.0,152.0,565.0,654.0,1040.0,17.0,420.0,999.0,1001.0,981.0,549.0,975.0,861.0,665.0,973.0,148.0
0.0,0.0,0.0,73.0,377.0,516.0,1108.0,14.0,285.0,1080.0,1067.0,1043.0,398.0,1029.0,962.0,819.0,1052.0,177.0
0.0,0.0,0.0,58.0,276.0,403.0,1022.0,5.0,211.0,1163.0,1032.0,1057.0,274.0,1065.0,1097.0,944.0,1063.0,330.0
0.0,0.0,0.0,33.0,184.0,280.0,982.0,3.0,137.0,1087.0,980.0,1105.0,193.0,1023.0,1161.0,1303.0,984.0,545.0
0.0,0.0,0.0,10.0,123.0,186.0,881.0,4.0,84.0,1127.0,893.0,1023.0,118.0,941.0,1303.0,1524.0,874.0,909.0
0.0,0.0,0.0,4.0,46.0,113.0,692.0,0.0,24.0,1012.0,648.0,904.0,63.0,724.0,1165.0,1900.0,813.0,1892.0
0.0,0.0,0.0,2.0,17.0,46.0,295.0,0.0,8.0,504.0,311.0,384.0,23.0,377.0,585.0,1249.0,372.0,5827.0
