Barcelona,Real Madrid,Real Betis,Alavés,Atlético Madrid,Sevilla,Deportivo La Coruña,Espanyol,Athletic Club,Racing Santander,Osasuna,Real Sociedad,Levante,Getafe,Celta Vigo,Rayo Vallecano,Málaga,Villarreal,Elche,Valencia
8400.0,1434.0,77.0,6.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
1412.0,6472.0,842.0,78.0,917.0,31.0,21.0,8.0,16.0,0.0,16.0,21.0,6.0,4.0,10.0,10.0,0.0,134.0,1.0,1.0
166.0,1395.0,2926.0,601.0,3011.0,262.0,182.0,129.0,94.0,25.0,97.0,142.0,77.0,58.0,83.0,91.0,0.0,638.0,14.0,9.0
15.0,444.0,2319.0,969.0,2151.0,514.0,383.0,387.0,236.0,60.0,270.0,331.0,154.0,129.0,221.0,214.0,0.0,1124.0,61.0,18.0
5.0,133.0,1281.0,1225.0,1318.0,780.0,602.0,505.0,426.0,110.0,454.0,518.0,291.0,227.0,395.0,355.0,0.0,1254.0,81.0,40.0
0.0,66.0,832.0,1064.0,810.0,861.0,731.0,674.0,522.0,163.0,507.0,698.0,385.0,305.0,491.0,508.0,0.0,1158.0,131.0,94.0
0.0,27.0,543.0,1001.0,541.0,846.0,734.0,715.0,564.0,293.0,609.0,743.0,529.0,419.0,560.0,559.0,0.0,997.0,186.0,134.0
2.0,13.0,387.0,862.0,363.0,856.0,812.0,758.0,686.0,280.0,673.0,795.0,532.0,486.0,629.0,599.0,1.0,823.0,289.0,154.0
0.0,4.0,255.0,766.0,242.0,819.0,829.0,749.0,667.0,405.0,711.0,771.0,614.0,544.0,680.0,654.0,7.0,779.0,302.0,202.0
0.0,7.0,177.0,663.0,203.0,868.0,764.0,696.0,693.0,438.0,754.0,787.0,636.0,650.0,683.0,653.0,14.0,657.0,389.0,268.0
0.0,4.0,107.0,589.0,99.0,726.0,705.0,784.0,789.0,524.0,790.0,769.0,688.0,681.0,720.0,686.0,12.0,545.0,449.0,333.0
0.0,1.0,89.0,504.0,96.0,662.0,706.0,764.0,762.0,596.0,723.0,737.0,767.0,715.0,733.0,706.0,26.0,452.0,556.0,405.0
0.0,0.0,67.0,429.0,59.0,605.0,683.0,730.0,769.0,669.0,739.0,672.0,780.0,778.0,765.0,709.0,37.0,349.0,664.0,496.0
0.0,0.0,34.0,370.0,38.0,517.0,599.0,675.0,743.0,776.0,751.0,654.0,778.0,807.0,786.0,751.0,49.0,314.0,747.0,611.0
0.0,0.0,26.0,306.0,30.0,450.0,604.0,598.0,753.0,885.0,718.0,614.0,785.0,816.0,729.0,732.0,81.0,266.0,843.0,764.0
0.0,0.0,17.0,241.0,24.0,418.0,508.0,574.0,656.0,1022.0,611.0,543.0,788.0,854.0,765.0,743.0,146.0,206.0,928.0,956.0
0.0,0.0,13.0,153.0,15.0,350.0,437.0,509.0,602.0,1094.0,601.0,503.0,805.0,839.0,669.0,720.0,264.0,159.0,1105.0,1162.0
0.0,0.0,8.0,97.0,6.0,252.0,407.0,419.0,553.0,1147.0,564.0,381.0,720.0,785.0,573.0,641.0,568.0,90.0,1344.0,1445.0
0.0,0.0,0.0,68.0,1.0,145.0,255.0,280.0,374.0,1126.0,340.0,268.0,525.0,718.0,427.0,530.0,1451.0,47.0,1370.0,2075.0
0.0,0.0,0.0,8.0,0.0,38.0,38.0,46.0,95.0,387.0,71.0,52.0,140.0,185.0,80.0,139.0,7344.0,4.0,540.0,833.0
