Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1865.0,1103.0,940.0,824.0,236.0,368.0,14.0,3506.0,44.0,920.0,0.0,0.0,152.0,0.0,5.0,0.0,23.0,0.0
1750.0,1345.0,1162.0,1015.0,426.0,593.0,29.0,2040.0,114.0,1182.0,8.0,0.0,286.0,0.0,11.0,0.0,39.0,0.0
1496.0,1396.0,1190.0,1175.0,588.0,810.0,60.0,1338.0,164.0,1216.0,16.0,0.0,438.0,3.0,20.0,11.0,78.0,1.0
1250.0,1316.0,1171.0,1205.0,776.0,910.0,112.0,997.0,242.0,1217.0,16.0,0.0,594.0,9.0,51.0,16.0,114.0,4.0
973.0,1098.0,1172.0,1219.0,898.0,1035.0,173.0,740.0,388.0,1144.0,35.0,4.0,791.0,11.0,86.0,51.0,173.0,9.0
807.0,978.0,1044.0,1078.0,984.0,1159.0,269.0,522.0,563.0,1052.0,71.0,1.0,949.0,23.0,110.0,85.0,291.0,14.0
632.0,800.0,984.0,965.0,1121.0,1091.0,440.0,373.0,752.0,988.0,131.0,5.0,977.0,48.0,179.0,133.0,354.0,27.0
444.0,634.0,734.0,789.0,1137.0,1058.0,638.0,200.0,925.0,755.0,223.0,8.0,1233.0,103.0,295.0,193.0,582.0,49.0
313.0,515.0,568.0,624.0,1041.0,910.0,805.0,136.0,1137.0,597.0,336.0,20.0,1180.0,164.0,442.0,342.0,784.0,86.0
211.0,330.0,433.0,452.0,887.0,740.0,1060.0,69.0,1255.0,395.0,515.0,56.0,1000.0,272.0,630.0,539.0,973.0,183.0
134.0,230.0,267.0,303.0,698.0,512.0,1258.0,37.0,1179.0,245.0,725.0,92.0,818.0,396.0,858.0,716.0,1204.0,328.0
72.0,118.0,157.0,148.0,498.0,356.0,1252.0,29.0,993.0,132.0,965.0,171.0,602.0,706.0,1106.0,994.0,1238.0,463.0
25.0,73.0,91.0,94.0,324.0,224.0,1125.0,9.0,803.0,88.0,1246.0,291.0,429.0,875.0,1248.0,1204.0,1165.0,686.0
17.0,34.0,58.0,68.0,179.0,121.0,961.0,3.0,580.0,40.0,1404.0,491.0,271.0,1150.0,1311.0,1308.0,1008.0,996.0
6.0,15.0,22.0,30.0,110.0,59.0,756.0,0.0,442.0,20.0,1405.0,836.0,147.0,1478.0,1244.0,1386.0,771.0,1273.0
3.0,10.0,5.0,8.0,66.0,38.0,544.0,1.0,245.0,7.0,1239.0,1295.0,88.0,1711.0,1126.0,1302.0,628.0,1684.0
2.0,5.0,1.0,2.0,27.0,13.0,341.0,0.0,127.0,2.0,1032.0,2193.0,32.0,1739.0,783.0,1114.0,393.0,2194.0
0.0,0.0,1.0,1.0,4.0,3.0,163.0,0.0,47.0,0.0,633.0,4537.0,13.0,1312.0,495.0,606.0,182.0,2003.0
