Flamengo,Palmeiras,Athletico Paranaense,Bahia,Fluminense,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7095.0,2903.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2886.0,7016.0,66.0,9.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,74.0,5070.0,1252.0,2358.0,932.0,245.0,12.0,14.0,7.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2499.0,2018.0,3007.0,1650.0,606.0,50.0,65.0,15.0,20.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1281.0,2449.0,2193.0,2181.0,1244.0,142.0,178.0,60.0,79.0,10.0,5.0,175.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,696.0,1982.0,1403.0,2274.0,1898.0,343.0,490.0,172.0,246.0,19.0,20.0,442.0,12.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,257.0,1239.0,622.0,1633.0,2411.0,785.0,914.0,457.0,571.0,56.0,79.0,907.0,47.0,9.0,13.0,0.0,0.0,0.0
0.0,0.0,84.0,586.0,235.0,702.0,1469.0,1353.0,1564.0,854.0,1105.0,163.0,241.0,1415.0,159.0,27.0,36.0,7.0,0.0,0.0
0.0,0.0,29.0,271.0,119.0,366.0,914.0,1511.0,1656.0,1095.0,1340.0,275.0,450.0,1539.0,259.0,57.0,94.0,25.0,0.0,0.0
0.0,0.0,10.0,134.0,27.0,152.0,606.0,1600.0,1514.0,1261.0,1435.0,441.0,643.0,1352.0,456.0,119.0,176.0,74.0,0.0,0.0
0.0,0.0,4.0,44.0,13.0,53.0,328.0,1450.0,1271.0,1333.0,1455.0,630.0,942.0,1241.0,691.0,174.0,256.0,113.0,2.0,0.0
0.0,0.0,2.0,10.0,6.0,30.0,161.0,1115.0,898.0,1362.0,1197.0,910.0,1256.0,1024.0,905.0,346.0,502.0,266.0,10.0,0.0
0.0,0.0,0.0,4.0,1.0,14.0,71.0,772.0,609.0,1183.0,965.0,1216.0,1505.0,729.0,1189.0,588.0,662.0,471.0,21.0,0.0
0.0,0.0,0.0,1.0,0.0,3.0,35.0,461.0,400.0,890.0,654.0,1456.0,1466.0,494.0,1450.0,880.0,1030.0,726.0,54.0,0.0
0.0,0.0,0.0,1.0,0.0,3.0,10.0,230.0,235.0,649.0,439.0,1602.0,1311.0,335.0,1492.0,1205.0,1254.0,1137.0,97.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,125.0,126.0,370.0,292.0,1393.0,960.0,164.0,1371.0,1597.0,1692.0,1643.0,264.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,46.0,217.0,136.0,1132.0,697.0,80.0,1066.0,1941.0,1866.0,2155.0,618.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,68.0,53.0,600.0,350.0,25.0,738.0,2207.0,1844.0,2500.0,1560.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,97.0,74.0,4.0,163.0,840.0,565.0,870.0,6981.0,390.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,13.0,393.0,9577.0
