Barcelona,Real Madrid,Real Betis,Alavés,Atlético Madrid,Sevilla,Deportivo La Coruña,Espanyol,Athletic Club,Racing Santander,Osasuna,Rayo Vallecano,Real Sociedad,Levante,Getafe,Celta Vigo,Valencia,Málaga,Villarreal,Elche
8053.0,1843.0,49.0,0.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1789.0,6654.0,638.0,24.0,698.0,22.0,19.0,3.0,10.0,2.0,6.0,21.0,15.0,6.0,0.0,9.0,0.0,0.0,84.0,0.0
135.0,1100.0,3132.0,344.0,3287.0,279.0,173.0,117.0,118.0,28.0,124.0,142.0,156.0,62.0,39.0,95.0,10.0,0.0,650.0,9.0
18.0,280.0,2424.0,642.0,2357.0,586.0,413.0,237.0,272.0,61.0,292.0,344.0,351.0,185.0,116.0,243.0,41.0,0.0,1114.0,24.0
4.0,69.0,1332.0,833.0,1255.0,827.0,633.0,408.0,462.0,114.0,461.0,526.0,539.0,314.0,252.0,397.0,124.0,0.0,1394.0,56.0
0.0,33.0,768.0,972.0,800.0,913.0,715.0,534.0,561.0,161.0,547.0,624.0,677.0,394.0,358.0,482.0,170.0,1.0,1194.0,96.0
0.0,10.0,521.0,924.0,498.0,854.0,789.0,563.0,604.0,255.0,638.0,695.0,802.0,503.0,426.0,576.0,220.0,1.0,978.0,143.0
0.0,6.0,363.0,827.0,340.0,852.0,790.0,672.0,660.0,371.0,657.0,713.0,768.0,515.0,506.0,630.0,303.0,0.0,837.0,190.0
1.0,2.0,245.0,840.0,239.0,777.0,801.0,718.0,686.0,402.0,670.0,704.0,775.0,619.0,557.0,693.0,336.0,7.0,717.0,211.0
0.0,0.0,193.0,776.0,153.0,795.0,771.0,712.0,671.0,467.0,734.0,737.0,742.0,668.0,580.0,701.0,406.0,2.0,603.0,289.0
0.0,3.0,109.0,697.0,109.0,702.0,743.0,687.0,733.0,525.0,732.0,746.0,696.0,730.0,661.0,748.0,475.0,10.0,551.0,343.0
0.0,0.0,80.0,634.0,62.0,649.0,644.0,743.0,756.0,598.0,723.0,741.0,683.0,731.0,743.0,752.0,545.0,22.0,481.0,413.0
0.0,0.0,48.0,589.0,57.0,606.0,605.0,759.0,718.0,670.0,720.0,713.0,669.0,781.0,765.0,691.0,664.0,32.0,376.0,537.0
0.0,0.0,36.0,475.0,39.0,548.0,659.0,724.0,746.0,757.0,735.0,652.0,645.0,759.0,805.0,714.0,769.0,33.0,302.0,602.0
0.0,0.0,26.0,427.0,26.0,429.0,581.0,760.0,690.0,825.0,659.0,657.0,660.0,710.0,864.0,703.0,841.0,98.0,220.0,824.0
0.0,0.0,16.0,369.0,11.0,424.0,561.0,702.0,625.0,960.0,648.0,619.0,583.0,777.0,801.0,712.0,898.0,155.0,194.0,945.0
0.0,0.0,9.0,298.0,8.0,303.0,455.0,613.0,658.0,1121.0,639.0,523.0,475.0,758.0,800.0,693.0,1108.0,240.0,152.0,1147.0
0.0,0.0,9.0,197.0,6.0,260.0,325.0,551.0,499.0,1153.0,513.0,464.0,428.0,731.0,848.0,593.0,1274.0,566.0,91.0,1492.0
0.0,0.0,2.0,119.0,0.0,140.0,260.0,402.0,436.0,1139.0,407.0,320.0,282.0,610.0,670.0,466.0,1347.0,1459.0,52.0,1889.0
0.0,0.0,0.0,13.0,2.0,34.0,63.0,95.0,94.0,391.0,95.0,59.0,54.0,147.0,209.0,102.0,469.0,7374.0,9.0,790.0
