FC Porto,Benfica,Sporting CP,Santa Clara,Estrela,Arouca,Braga,Académico de Viseu,Moreirense,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Rio Ave,Estoril,Casa Pia
3800.0,3500.0,2652.0,3.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3249.0,3226.0,3340.0,14.0,1.0,3.0,164.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2614.0,2852.0,3545.0,122.0,9.0,19.0,787.0,0.0,0.0,33.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0
304.0,376.0,410.0,1792.0,259.0,394.0,5280.0,15.0,36.0,702.0,1.0,20.0,23.0,337.0,23.0,5.0,23.0,0.0
27.0,40.0,40.0,2825.0,776.0,1006.0,2013.0,99.0,184.0,1575.0,18.0,138.0,82.0,950.0,125.0,13.0,89.0,0.0
5.0,4.0,11.0,1880.0,1098.0,1468.0,827.0,225.0,313.0,1771.0,49.0,292.0,180.0,1380.0,238.0,55.0,202.0,2.0
1.0,1.0,2.0,1191.0,1291.0,1490.0,469.0,426.0,472.0,1527.0,75.0,433.0,300.0,1460.0,446.0,96.0,316.0,4.0
0.0,0.0,0.0,794.0,1357.0,1242.0,205.0,563.0,655.0,1281.0,156.0,603.0,467.0,1442.0,577.0,156.0,492.0,10.0
0.0,1.0,0.0,566.0,1221.0,1145.0,108.0,776.0,825.0,949.0,250.0,767.0,637.0,1154.0,749.0,250.0,578.0,24.0
0.0,0.0,0.0,353.0,1027.0,895.0,50.0,921.0,957.0,723.0,393.0,912.0,798.0,941.0,881.0,365.0,745.0,39.0
0.0,0.0,0.0,196.0,860.0,701.0,29.0,1020.0,1008.0,480.0,481.0,1046.0,961.0,733.0,962.0,529.0,917.0,77.0
0.0,0.0,0.0,113.0,644.0,555.0,13.0,997.0,1082.0,367.0,747.0,1037.0,1056.0,537.0,1063.0,625.0,1031.0,133.0
0.0,0.0,0.0,73.0,517.0,401.0,6.0,1090.0,1053.0,244.0,836.0,1067.0,1149.0,393.0,1033.0,860.0,1059.0,219.0
0.0,0.0,0.0,42.0,370.0,334.0,3.0,1040.0,1015.0,158.0,1068.0,1059.0,1080.0,296.0,1068.0,1008.0,1107.0,352.0
0.0,0.0,0.0,19.0,288.0,181.0,1.0,1018.0,904.0,95.0,1340.0,932.0,1078.0,164.0,1012.0,1274.0,1114.0,580.0
0.0,0.0,0.0,14.0,159.0,115.0,1.0,891.0,732.0,56.0,1638.0,807.0,979.0,127.0,863.0,1555.0,1070.0,993.0
0.0,0.0,0.0,2.0,90.0,43.0,0.0,629.0,521.0,29.0,1875.0,623.0,787.0,57.0,638.0,1926.0,878.0,1902.0
0.0,0.0,0.0,1.0,33.0,8.0,0.0,290.0,243.0,7.0,1073.0,264.0,422.0,11.0,321.0,1283.0,379.0,5665.0
