West Ham United,Swansea City,Middlesbrough,West Bromwich Albion,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Lincoln City,Southampton,Birmingham City,Millwall,Stoke City,Bristol City,Norwich City,Sheffield United,Blackburn Rovers,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6906.0,83.0,446.0,18.0,9.0,1.0,1762.0,0.0,614.0,19.0,85.0,1.0,11.0,28.0,11.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
1941.0,445.0,1417.0,130.0,43.0,23.0,3354.0,1.0,1819.0,124.0,310.0,29.0,49.0,198.0,50.0,14.0,6.0,8.0,22.0,0.0,0.0,11.0,1.0,5.0
690.0,801.0,1843.0,314.0,135.0,48.0,2043.0,3.0,2123.0,280.0,693.0,89.0,127.0,406.0,179.0,23.0,26.0,19.0,85.0,0.0,0.0,49.0,0.0,24.0
281.0,1093.0,1683.0,528.0,235.0,111.0,1198.0,19.0,1657.0,483.0,959.0,191.0,204.0,616.0,289.0,68.0,47.0,41.0,165.0,0.0,0.0,81.0,3.0,48.0
104.0,1174.0,1239.0,668.0,418.0,225.0,653.0,37.0,1137.0,677.0,1044.0,292.0,395.0,801.0,420.0,92.0,80.0,88.0,256.0,0.0,0.0,122.0,7.0,71.0
46.0,1062.0,924.0,766.0,466.0,282.0,362.0,66.0,755.0,812.0,1047.0,375.0,480.0,886.0,551.0,150.0,106.0,145.0,379.0,4.0,0.0,190.0,21.0,125.0
14.0,974.0,627.0,825.0,576.0,364.0,246.0,89.0,565.0,815.0,963.0,446.0,536.0,909.0,565.0,230.0,176.0,180.0,440.0,1.0,3.0,237.0,24.0,195.0
9.0,807.0,510.0,833.0,638.0,465.0,136.0,131.0,384.0,790.0,850.0,488.0,594.0,831.0,670.0,265.0,217.0,242.0,486.0,6.0,2.0,357.0,43.0,246.0
3.0,714.0,349.0,865.0,628.0,456.0,88.0,193.0,299.0,796.0,747.0,600.0,684.0,802.0,638.0,331.0,286.0,270.0,520.0,7.0,5.0,382.0,68.0,269.0
4.0,577.0,251.0,709.0,683.0,587.0,45.0,219.0,191.0,744.0,611.0,630.0,675.0,747.0,708.0,412.0,343.0,348.0,616.0,9.0,5.0,452.0,87.0,347.0
0.0,521.0,202.0,651.0,716.0,584.0,38.0,272.0,135.0,687.0,516.0,686.0,697.0,634.0,690.0,456.0,390.0,430.0,662.0,22.0,6.0,479.0,114.0,412.0
2.0,368.0,140.0,653.0,688.0,668.0,26.0,319.0,95.0,630.0,514.0,664.0,726.0,553.0,674.0,558.0,460.0,414.0,638.0,33.0,11.0,523.0,157.0,486.0
0.0,317.0,127.0,571.0,661.0,660.0,20.0,357.0,73.0,581.0,390.0,685.0,672.0,518.0,662.0,596.0,480.0,543.0,684.0,40.0,15.0,610.0,208.0,530.0
0.0,274.0,85.0,529.0,621.0,679.0,19.0,460.0,60.0,495.0,290.0,682.0,645.0,479.0,648.0,631.0,618.0,580.0,668.0,56.0,35.0,607.0,257.0,582.0
0.0,231.0,56.0,410.0,631.0,753.0,6.0,532.0,37.0,457.0,271.0,712.0,553.0,368.0,636.0,669.0,620.0,657.0,662.0,83.0,50.0,684.0,283.0,639.0
0.0,172.0,35.0,352.0,589.0,706.0,1.0,616.0,24.0,406.0,188.0,646.0,560.0,309.0,545.0,752.0,722.0,707.0,689.0,101.0,76.0,699.0,427.0,678.0
0.0,133.0,28.0,321.0,541.0,691.0,1.0,770.0,12.0,301.0,173.0,587.0,572.0,262.0,456.0,714.0,804.0,779.0,603.0,168.0,107.0,755.0,493.0,729.0
0.0,96.0,14.0,274.0,461.0,657.0,1.0,828.0,8.0,304.0,128.0,556.0,506.0,229.0,437.0,735.0,773.0,830.0,601.0,221.0,186.0,702.0,645.0,808.0
0.0,79.0,13.0,221.0,406.0,579.0,1.0,930.0,3.0,210.0,92.0,505.0,423.0,178.0,412.0,827.0,872.0,795.0,531.0,338.0,264.0,739.0,774.0,808.0
0.0,37.0,3.0,151.0,335.0,531.0,0.0,1005.0,6.0,172.0,50.0,429.0,340.0,124.0,315.0,726.0,844.0,838.0,437.0,585.0,407.0,758.0,1013.0,894.0
0.0,19.0,6.0,102.0,238.0,427.0,0.0,1104.0,2.0,110.0,52.0,322.0,269.0,77.0,218.0,705.0,824.0,811.0,414.0,881.0,676.0,650.0,1307.0,786.0
0.0,18.0,2.0,74.0,173.0,313.0,0.0,1059.0,1.0,70.0,23.0,240.0,171.0,32.0,148.0,581.0,735.0,707.0,259.0,1397.0,1269.0,494.0,1575.0,659.0
0.0,5.0,0.0,29.0,82.0,144.0,0.0,687.0,0.0,29.0,3.0,112.0,87.0,11.0,61.0,319.0,406.0,402.0,136.0,2700.0,2562.0,292.0,1494.0,439.0
0.0,0.0,0.0,6.0,27.0,46.0,0.0,303.0,0.0,8.0,1.0,33.0,24.0,2.0,17.0,146.0,165.0,165.0,44.0,3348.0,4321.0,125.0,999.0,220.0
