Barcelona,Real Madrid,Real Betis,Atlético Madrid,Sevilla,Alavés,Deportivo La Coruña,Espanyol,Athletic Club,Racing Santander,Rayo Vallecano,Real Sociedad,Osasuna,Villarreal,Levante,Getafe,Celta Vigo,Valencia,Málaga,Elche
8523.0,1340.0,53.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1317.0,6649.0,773.0,1057.0,45.0,13.0,6.0,1.0,5.0,0.0,3.0,8.0,1.0,116.0,2.0,2.0,2.0,0.0,0.0,0.0
143.0,1486.0,2977.0,3642.0,333.0,190.0,31.0,54.0,75.0,1.0,91.0,101.0,25.0,724.0,37.0,16.0,63.0,7.0,0.0,4.0
15.0,366.0,2775.0,2617.0,796.0,515.0,106.0,184.0,204.0,7.0,260.0,297.0,81.0,1373.0,124.0,69.0,154.0,41.0,0.0,16.0
2.0,95.0,1441.0,1131.0,1256.0,789.0,314.0,383.0,453.0,11.0,497.0,578.0,221.0,1905.0,287.0,145.0,352.0,95.0,0.0,45.0
0.0,42.0,822.0,625.0,1246.0,1024.0,441.0,573.0,609.0,28.0,642.0,710.0,330.0,1465.0,445.0,222.0,518.0,184.0,0.0,74.0
0.0,16.0,424.0,336.0,1130.0,1030.0,502.0,703.0,719.0,54.0,749.0,827.0,428.0,1092.0,536.0,345.0,687.0,278.0,0.0,144.0
0.0,2.0,285.0,192.0,988.0,989.0,653.0,751.0,775.0,105.0,803.0,845.0,542.0,814.0,630.0,397.0,705.0,316.0,0.0,208.0
0.0,2.0,169.0,125.0,892.0,932.0,683.0,784.0,777.0,139.0,867.0,824.0,595.0,603.0,625.0,472.0,786.0,442.0,2.0,281.0
0.0,1.0,106.0,80.0,675.0,815.0,727.0,841.0,834.0,190.0,806.0,827.0,663.0,496.0,784.0,571.0,777.0,483.0,0.0,324.0
0.0,0.0,63.0,51.0,591.0,720.0,803.0,794.0,801.0,248.0,796.0,773.0,742.0,395.0,818.0,633.0,786.0,565.0,3.0,418.0
0.0,1.0,46.0,22.0,527.0,625.0,855.0,787.0,798.0,319.0,712.0,771.0,761.0,300.0,795.0,744.0,817.0,603.0,7.0,510.0
0.0,0.0,29.0,18.0,433.0,544.0,760.0,765.0,720.0,453.0,722.0,708.0,789.0,227.0,775.0,834.0,821.0,741.0,13.0,648.0
0.0,0.0,19.0,9.0,349.0,514.0,784.0,768.0,776.0,517.0,683.0,686.0,837.0,165.0,768.0,859.0,735.0,824.0,31.0,676.0
0.0,0.0,5.0,8.0,278.0,436.0,822.0,672.0,654.0,675.0,664.0,572.0,880.0,127.0,794.0,919.0,663.0,935.0,49.0,847.0
0.0,0.0,10.0,3.0,184.0,326.0,771.0,626.0,577.0,973.0,606.0,504.0,852.0,85.0,725.0,975.0,669.0,967.0,80.0,1067.0
0.0,0.0,2.0,1.0,149.0,248.0,714.0,549.0,489.0,1251.0,458.0,417.0,844.0,62.0,802.0,966.0,590.0,1117.0,185.0,1156.0
0.0,0.0,1.0,1.0,91.0,159.0,576.0,421.0,414.0,1695.0,365.0,311.0,754.0,31.0,574.0,952.0,495.0,1186.0,435.0,1539.0
0.0,0.0,0.0,1.0,33.0,120.0,385.0,286.0,286.0,2510.0,236.0,213.0,541.0,17.0,407.0,694.0,347.0,1009.0,1389.0,1526.0
0.0,0.0,0.0,0.0,4.0,11.0,67.0,58.0,34.0,824.0,40.0,27.0,114.0,2.0,72.0,185.0,32.0,207.0,7806.0,517.0
