Flamengo,Palmeiras,Athletico Paranaense,Bahia,Fluminense,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,Botafogo,São Paulo,Vitória,Corinthians,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7064.0,2935.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2927.0,6989.0,61.0,4.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,72.0,5039.0,1218.0,2439.0,950.0,236.0,6.0,13.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2482.0,2040.0,2975.0,1685.0,584.0,38.0,54.0,21.0,85.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1393.0,2524.0,2198.0,2089.0,1103.0,103.0,183.0,75.0,251.0,75.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,645.0,2018.0,1317.0,2251.0,1903.0,326.0,456.0,174.0,596.0,257.0,9.0,26.0,16.0,0.0,5.0,1.0,0.0,0.0
0.0,0.0,265.0,1178.0,648.0,1532.0,2432.0,741.0,931.0,441.0,1109.0,522.0,46.0,96.0,42.0,1.0,13.0,3.0,0.0,0.0
0.0,0.0,77.0,575.0,232.0,790.0,1616.0,1310.0,1471.0,720.0,1654.0,1014.0,138.0,223.0,129.0,9.0,32.0,10.0,0.0,0.0
0.0,0.0,26.0,272.0,109.0,378.0,947.0,1555.0,1686.0,1076.0,1579.0,1329.0,276.0,388.0,237.0,24.0,82.0,34.0,2.0,0.0
0.0,0.0,6.0,105.0,47.0,182.0,551.0,1622.0,1499.0,1236.0,1440.0,1514.0,436.0,646.0,421.0,68.0,157.0,69.0,1.0,0.0
0.0,0.0,3.0,38.0,15.0,88.0,334.0,1542.0,1262.0,1390.0,1134.0,1450.0,606.0,922.0,646.0,139.0,299.0,131.0,1.0,0.0
0.0,0.0,1.0,21.0,4.0,38.0,171.0,1107.0,1001.0,1442.0,848.0,1232.0,951.0,1263.0,986.0,243.0,436.0,244.0,12.0,0.0
0.0,0.0,1.0,6.0,2.0,7.0,78.0,730.0,611.0,1248.0,633.0,961.0,1243.0,1544.0,1215.0,474.0,719.0,508.0,20.0,0.0
0.0,0.0,0.0,1.0,1.0,2.0,28.0,473.0,407.0,947.0,363.0,747.0,1555.0,1474.0,1448.0,748.0,997.0,764.0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,13.0,270.0,230.0,614.0,189.0,455.0,1553.0,1299.0,1578.0,1182.0,1357.0,1143.0,116.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,116.0,122.0,363.0,71.0,234.0,1429.0,1013.0,1353.0,1574.0,1745.0,1697.0,277.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,55.0,182.0,32.0,128.0,1064.0,685.0,1032.0,2100.0,1945.0,2090.0,632.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,61.0,7.0,40.0,610.0,337.0,734.0,2384.0,1633.0,2397.0,1723.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,6.0,82.0,78.0,161.0,1038.0,570.0,889.0,6761.0,404.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,10.0,20.0,410.0,9543.0
