AS Roma,Internazionale,Como,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Bologna,Parma,Monza,Genoa,Venezia
2567.0,5248.0,1655.0,32.0,5.0,103.0,2.0,219.0,8.0,122.0,33.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2985.0,2564.0,2570.0,181.0,25.0,361.0,6.0,703.0,39.0,400.0,147.0,1.0,12.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
2089.0,1298.0,2663.0,404.0,90.0,760.0,22.0,1220.0,105.0,862.0,396.0,2.0,56.0,4.0,6.0,23.0,0.0,0.0,0.0,0.0
1133.0,517.0,1367.0,863.0,207.0,1324.0,73.0,1809.0,311.0,1401.0,746.0,12.0,141.0,14.0,22.0,52.0,1.0,0.0,7.0,0.0
596.0,229.0,812.0,1137.0,395.0,1497.0,181.0,1628.0,437.0,1554.0,1014.0,22.0,259.0,45.0,49.0,118.0,10.0,0.0,17.0,0.0
309.0,83.0,470.0,1246.0,581.0,1460.0,321.0,1364.0,703.0,1393.0,1224.0,77.0,391.0,73.0,76.0,166.0,17.0,1.0,45.0,0.0
152.0,43.0,233.0,1290.0,825.0,1267.0,415.0,1018.0,913.0,1148.0,1291.0,137.0,568.0,131.0,159.0,271.0,33.0,4.0,102.0,0.0
77.0,13.0,111.0,1223.0,969.0,966.0,620.0,718.0,1021.0,996.0,1256.0,212.0,711.0,196.0,265.0,454.0,37.0,5.0,149.0,1.0
49.0,3.0,66.0,1000.0,1135.0,731.0,810.0,469.0,1145.0,696.0,1072.0,279.0,949.0,292.0,381.0,608.0,107.0,10.0,196.0,2.0
21.0,1.0,22.0,835.0,1152.0,521.0,922.0,336.0,1104.0,501.0,856.0,429.0,1054.0,457.0,486.0,770.0,195.0,7.0,331.0,0.0
13.0,1.0,15.0,603.0,1055.0,345.0,1083.0,238.0,1028.0,365.0,660.0,616.0,1052.0,574.0,658.0,946.0,258.0,26.0,464.0,0.0
3.0,0.0,8.0,445.0,936.0,266.0,1061.0,131.0,926.0,240.0,469.0,844.0,1039.0,764.0,819.0,1002.0,383.0,52.0,603.0,9.0
3.0,0.0,5.0,295.0,805.0,194.0,1057.0,73.0,692.0,137.0,349.0,878.0,958.0,969.0,1008.0,1134.0,520.0,94.0,811.0,18.0
1.0,0.0,2.0,196.0,640.0,85.0,977.0,43.0,529.0,95.0,226.0,1122.0,891.0,1058.0,1130.0,1076.0,728.0,166.0,1009.0,26.0
2.0,0.0,1.0,124.0,482.0,57.0,811.0,18.0,426.0,48.0,135.0,1223.0,680.0,1210.0,1199.0,1024.0,1025.0,304.0,1173.0,58.0
0.0,0.0,0.0,66.0,343.0,34.0,701.0,12.0,289.0,22.0,68.0,1259.0,559.0,1297.0,1189.0,907.0,1327.0,494.0,1306.0,127.0
0.0,0.0,0.0,38.0,200.0,17.0,504.0,1.0,194.0,14.0,41.0,1283.0,368.0,1237.0,1104.0,729.0,1659.0,896.0,1425.0,290.0
0.0,0.0,0.0,17.0,114.0,11.0,308.0,0.0,96.0,4.0,14.0,1017.0,218.0,1038.0,895.0,481.0,1986.0,1714.0,1371.0,716.0
0.0,0.0,0.0,5.0,35.0,1.0,107.0,0.0,27.0,2.0,3.0,481.0,72.0,528.0,456.0,192.0,1310.0,3751.0,785.0,2245.0
0.0,0.0,0.0,0.0,6.0,0.0,19.0,0.0,7.0,0.0,0.0,106.0,16.0,113.0,97.0,42.0,404.0,2476.0,206.0,6508.0
