West Ham United,Swansea City,Middlesbrough,West Bromwich Albion,Bristol City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Lincoln City,Southampton,Birmingham City,Millwall,Stoke City,Norwich City,Sheffield United,Blackburn Rovers,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
7036.0,95.0,438.0,32.0,5.0,6.0,5.0,1674.0,0.0,569.0,14.0,74.0,5.0,30.0,9.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
1853.0,448.0,1401.0,117.0,82.0,48.0,17.0,3428.0,2.0,1837.0,122.0,319.0,30.0,184.0,57.0,8.0,0.0,2.0,27.0,0.0,0.0,11.0,1.0,6.0
620.0,792.0,1858.0,308.0,180.0,122.0,58.0,2037.0,15.0,2172.0,295.0,636.0,86.0,430.0,164.0,34.0,12.0,20.0,95.0,0.0,0.0,38.0,4.0,24.0
285.0,1031.0,1666.0,498.0,328.0,234.0,129.0,1168.0,15.0,1614.0,526.0,939.0,168.0,664.0,269.0,59.0,27.0,45.0,198.0,0.0,0.0,75.0,5.0,57.0
110.0,1105.0,1309.0,677.0,475.0,391.0,173.0,644.0,39.0,1127.0,680.0,1084.0,262.0,815.0,416.0,96.0,53.0,84.0,239.0,0.0,0.0,121.0,9.0,91.0
48.0,1069.0,930.0,802.0,601.0,470.0,263.0,407.0,54.0,768.0,743.0,1006.0,419.0,855.0,490.0,176.0,64.0,139.0,346.0,0.0,0.0,211.0,13.0,126.0
19.0,941.0,622.0,808.0,674.0,582.0,338.0,258.0,86.0,569.0,833.0,956.0,465.0,897.0,576.0,199.0,111.0,171.0,422.0,0.0,3.0,262.0,29.0,179.0
13.0,807.0,517.0,797.0,706.0,602.0,413.0,124.0,119.0,405.0,786.0,845.0,525.0,874.0,641.0,265.0,154.0,231.0,535.0,8.0,0.0,320.0,53.0,260.0
8.0,679.0,370.0,833.0,740.0,658.0,474.0,111.0,182.0,296.0,769.0,754.0,612.0,787.0,664.0,358.0,188.0,279.0,528.0,5.0,3.0,380.0,50.0,272.0
4.0,622.0,245.0,747.0,720.0,731.0,572.0,51.0,199.0,184.0,781.0,646.0,602.0,738.0,658.0,407.0,242.0,367.0,582.0,7.0,5.0,414.0,99.0,377.0
2.0,506.0,187.0,738.0,761.0,720.0,600.0,32.0,295.0,151.0,746.0,532.0,631.0,641.0,601.0,493.0,303.0,419.0,633.0,17.0,8.0,474.0,111.0,399.0
2.0,417.0,124.0,609.0,722.0,681.0,666.0,27.0,350.0,92.0,652.0,483.0,683.0,591.0,730.0,502.0,371.0,460.0,669.0,29.0,8.0,554.0,134.0,444.0
0.0,396.0,102.0,564.0,680.0,705.0,653.0,16.0,374.0,65.0,586.0,380.0,714.0,505.0,713.0,578.0,417.0,526.0,692.0,26.0,30.0,573.0,189.0,516.0
0.0,316.0,77.0,551.0,597.0,631.0,732.0,11.0,468.0,46.0,519.0,344.0,727.0,420.0,683.0,608.0,527.0,569.0,673.0,52.0,30.0,637.0,250.0,532.0
0.0,198.0,55.0,420.0,566.0,626.0,731.0,9.0,573.0,45.0,460.0,291.0,654.0,366.0,612.0,719.0,604.0,614.0,665.0,76.0,45.0,686.0,348.0,637.0
0.0,179.0,36.0,383.0,530.0,574.0,682.0,3.0,617.0,28.0,376.0,209.0,689.0,306.0,554.0,749.0,653.0,728.0,637.0,107.0,79.0,722.0,414.0,745.0
0.0,130.0,22.0,320.0,425.0,509.0,674.0,0.0,743.0,17.0,301.0,177.0,605.0,271.0,577.0,768.0,810.0,792.0,620.0,174.0,101.0,716.0,506.0,742.0
0.0,94.0,19.0,252.0,366.0,460.0,691.0,0.0,864.0,5.0,274.0,119.0,533.0,203.0,466.0,772.0,840.0,806.0,566.0,260.0,206.0,765.0,630.0,809.0
0.0,81.0,7.0,206.0,305.0,377.0,622.0,0.0,941.0,3.0,199.0,95.0,509.0,157.0,360.0,830.0,925.0,830.0,553.0,363.0,248.0,715.0,840.0,834.0
0.0,48.0,8.0,138.0,222.0,342.0,534.0,0.0,1025.0,2.0,163.0,46.0,413.0,119.0,330.0,769.0,997.0,840.0,483.0,602.0,382.0,755.0,959.0,823.0
0.0,23.0,3.0,105.0,160.0,242.0,438.0,0.0,1039.0,3.0,104.0,35.0,326.0,76.0,223.0,691.0,1002.0,837.0,379.0,934.0,737.0,612.0,1287.0,744.0
0.0,18.0,4.0,60.0,98.0,175.0,309.0,0.0,1025.0,2.0,44.0,20.0,205.0,50.0,123.0,488.0,881.0,661.0,269.0,1451.0,1288.0,529.0,1589.0,711.0
0.0,4.0,0.0,25.0,44.0,92.0,168.0,0.0,638.0,0.0,21.0,7.0,110.0,16.0,63.0,305.0,555.0,405.0,146.0,2616.0,2534.0,308.0,1469.0,474.0
0.0,1.0,0.0,10.0,13.0,22.0,58.0,0.0,337.0,0.0,6.0,3.0,27.0,5.0,21.0,126.0,263.0,174.0,40.0,3273.0,4293.0,119.0,1011.0,198.0
