AS Monaco,Lille,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1768.0,1777.0,911.0,818.0,244.0,401.0,9.0,3351.0,40.0,517.0,0.0,0.0,153.0,0.0,1.0,2.0,8.0,0.0
1708.0,1746.0,1174.0,1031.0,433.0,598.0,29.0,2053.0,105.0,767.0,2.0,1.0,317.0,0.0,5.0,3.0,28.0,0.0
1491.0,1553.0,1223.0,1130.0,590.0,775.0,69.0,1466.0,161.0,970.0,7.0,0.0,442.0,3.0,20.0,15.0,81.0,4.0
1237.0,1267.0,1231.0,1221.0,733.0,965.0,118.0,1024.0,294.0,1155.0,13.0,0.0,573.0,3.0,41.0,26.0,97.0,2.0
1029.0,1015.0,1119.0,1193.0,962.0,1017.0,168.0,719.0,384.0,1252.0,40.0,0.0,779.0,11.0,98.0,38.0,166.0,10.0
827.0,830.0,1046.0,1105.0,1046.0,1115.0,253.0,541.0,573.0,1149.0,62.0,2.0,944.0,23.0,125.0,77.0,266.0,16.0
643.0,629.0,946.0,988.0,1098.0,1159.0,442.0,331.0,730.0,1075.0,129.0,5.0,1019.0,39.0,206.0,117.0,421.0,23.0
491.0,443.0,791.0,829.0,1170.0,985.0,598.0,233.0,918.0,933.0,209.0,9.0,1138.0,101.0,300.0,224.0,563.0,65.0
346.0,310.0,559.0,596.0,1005.0,935.0,822.0,149.0,1139.0,768.0,339.0,23.0,1154.0,160.0,448.0,320.0,824.0,103.0
203.0,199.0,413.0,423.0,832.0,749.0,1040.0,70.0,1230.0,547.0,549.0,53.0,1049.0,286.0,652.0,510.0,1023.0,172.0
133.0,110.0,248.0,296.0,659.0,513.0,1200.0,33.0,1161.0,367.0,782.0,87.0,868.0,445.0,905.0,786.0,1143.0,264.0
67.0,66.0,147.0,172.0,513.0,361.0,1225.0,18.0,1043.0,216.0,975.0,188.0,578.0,606.0,1083.0,980.0,1251.0,511.0
31.0,39.0,101.0,91.0,292.0,190.0,1211.0,7.0,818.0,148.0,1243.0,293.0,424.0,876.0,1217.0,1198.0,1114.0,707.0
17.0,9.0,52.0,53.0,215.0,124.0,1003.0,4.0,599.0,71.0,1373.0,494.0,256.0,1122.0,1278.0,1365.0,987.0,978.0
8.0,5.0,28.0,27.0,119.0,73.0,754.0,1.0,385.0,42.0,1384.0,801.0,166.0,1383.0,1191.0,1412.0,854.0,1367.0
1.0,1.0,7.0,21.0,59.0,28.0,559.0,0.0,255.0,17.0,1294.0,1252.0,86.0,1770.0,1091.0,1231.0,611.0,1717.0
0.0,1.0,3.0,5.0,21.0,10.0,348.0,0.0,123.0,5.0,991.0,2224.0,41.0,1748.0,839.0,1031.0,405.0,2205.0
0.0,0.0,1.0,1.0,9.0,2.0,152.0,0.0,42.0,1.0,608.0,4568.0,13.0,1424.0,500.0,665.0,158.0,1856.0
