FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Braga,Académico de Viseu,Maritimo,Gil Vicente,Alverca,FC Famalicao,Moreirense,Vitória de Guimaraes,C.D. Nacional,Rio Ave,Estoril,Casa Pia
4024.0,3888.0,2049.0,4.0,1.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3376.0,3268.0,3152.0,15.0,2.0,0.0,182.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,2461.0,4150.0,148.0,16.0,7.0,833.0,0.0,0.0,30.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
279.0,329.0,567.0,1691.0,422.0,244.0,5047.0,17.0,1.0,491.0,25.0,823.0,23.0,10.0,6.0,2.0,23.0,0.0
29.0,43.0,70.0,2620.0,1083.0,696.0,1987.0,74.0,12.0,1135.0,158.0,1751.0,144.0,65.0,32.0,4.0,97.0,0.0
1.0,10.0,7.0,1968.0,1424.0,1009.0,946.0,194.0,53.0,1423.0,323.0,1909.0,278.0,179.0,90.0,17.0,165.0,4.0
1.0,1.0,5.0,1287.0,1474.0,1221.0,475.0,312.0,114.0,1593.0,564.0,1631.0,483.0,287.0,181.0,29.0,336.0,6.0
0.0,0.0,0.0,872.0,1395.0,1335.0,242.0,517.0,192.0,1424.0,785.0,1299.0,639.0,496.0,264.0,80.0,453.0,7.0
0.0,0.0,0.0,539.0,1128.0,1332.0,138.0,765.0,309.0,1178.0,1001.0,903.0,846.0,622.0,401.0,155.0,662.0,21.0
0.0,0.0,0.0,341.0,993.0,1078.0,55.0,934.0,485.0,905.0,1144.0,621.0,996.0,776.0,572.0,249.0,796.0,55.0
0.0,0.0,0.0,241.0,706.0,948.0,37.0,1055.0,622.0,602.0,1198.0,389.0,1124.0,907.0,748.0,368.0,966.0,89.0
0.0,0.0,0.0,131.0,485.0,685.0,12.0,1149.0,830.0,455.0,1134.0,266.0,1124.0,1139.0,867.0,532.0,1064.0,127.0
0.0,0.0,0.0,66.0,381.0,538.0,9.0,1157.0,1017.0,309.0,984.0,152.0,1092.0,1124.0,1146.0,684.0,1113.0,228.0
0.0,0.0,0.0,44.0,223.0,389.0,3.0,1097.0,1192.0,217.0,916.0,94.0,978.0,1140.0,1239.0,897.0,1165.0,406.0
0.0,0.0,0.0,21.0,132.0,284.0,1.0,1001.0,1418.0,118.0,749.0,52.0,882.0,1137.0,1276.0,1262.0,1094.0,573.0
0.0,0.0,0.0,8.0,90.0,149.0,0.0,832.0,1492.0,74.0,538.0,28.0,719.0,943.0,1372.0,1780.0,988.0,987.0
0.0,0.0,0.0,4.0,38.0,67.0,0.0,607.0,1451.0,37.0,361.0,11.0,473.0,781.0,1156.0,2270.0,720.0,2024.0
0.0,0.0,0.0,0.0,7.0,18.0,0.0,289.0,812.0,7.0,120.0,2.0,199.0,394.0,650.0,1671.0,358.0,5473.0
