AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Paris Saint-Germain,Angers,Strasbourg,Le Mans,AJ Auxerre,Brest,Lorient,Toulouse,Nice,Lens,Troyes,Marseille,Le Havre AC
1533.0,1499.0,311.0,954.0,307.0,4665.0,0.0,174.0,1.0,1.0,6.0,14.0,18.0,0.0,442.0,0.0,75.0,0.0
1849.0,1745.0,698.0,1306.0,627.0,2248.0,8.0,399.0,2.0,15.0,13.0,46.0,46.0,2.0,829.0,0.0,165.0,2.0
1670.0,1611.0,829.0,1501.0,831.0,1231.0,26.0,633.0,13.0,53.0,30.0,103.0,122.0,2.0,1074.0,0.0,268.0,3.0
1320.0,1325.0,1038.0,1375.0,1047.0,734.0,54.0,811.0,24.0,58.0,85.0,195.0,187.0,11.0,1269.0,0.0,451.0,16.0
1049.0,1077.0,1069.0,1200.0,1237.0,479.0,89.0,1002.0,55.0,124.0,133.0,304.0,285.0,17.0,1279.0,0.0,565.0,36.0
793.0,884.0,1213.0,1014.0,1226.0,282.0,150.0,1124.0,104.0,211.0,194.0,395.0,394.0,35.0,1159.0,0.0,770.0,52.0
624.0,646.0,1125.0,847.0,1104.0,155.0,228.0,1179.0,178.0,332.0,312.0,572.0,575.0,56.0,1072.0,1.0,916.0,78.0
439.0,445.0,1014.0,671.0,1024.0,101.0,352.0,1120.0,273.0,441.0,427.0,737.0,730.0,107.0,860.0,3.0,1118.0,138.0
298.0,292.0,851.0,409.0,823.0,48.0,522.0,949.0,384.0,606.0,617.0,948.0,997.0,177.0,658.0,5.0,1196.0,220.0
183.0,206.0,643.0,301.0,619.0,28.0,709.0,801.0,538.0,784.0,798.0,1101.0,1088.0,305.0,492.0,8.0,1053.0,343.0
99.0,127.0,461.0,182.0,457.0,19.0,897.0,626.0,771.0,940.0,1004.0,1107.0,1163.0,445.0,322.0,28.0,877.0,475.0
71.0,69.0,323.0,112.0,298.0,6.0,1072.0,455.0,923.0,1034.0,1098.0,1076.0,1072.0,606.0,229.0,53.0,831.0,672.0
33.0,38.0,186.0,77.0,191.0,2.0,1123.0,314.0,1084.0,1129.0,1146.0,998.0,1000.0,870.0,140.0,94.0,620.0,955.0
23.0,26.0,124.0,27.0,107.0,1.0,1234.0,188.0,1246.0,1222.0,1162.0,816.0,854.0,1085.0,84.0,176.0,459.0,1166.0
12.0,6.0,69.0,13.0,70.0,1.0,1163.0,119.0,1380.0,1153.0,1106.0,692.0,635.0,1420.0,52.0,362.0,313.0,1434.0
4.0,3.0,31.0,8.0,22.0,0.0,1128.0,78.0,1384.0,964.0,1001.0,513.0,483.0,1802.0,24.0,673.0,197.0,1685.0
0.0,0.0,15.0,3.0,7.0,0.0,940.0,23.0,1185.0,693.0,657.0,297.0,279.0,2090.0,13.0,1829.0,105.0,1864.0
0.0,1.0,0.0,0.0,3.0,0.0,305.0,5.0,455.0,240.0,211.0,86.0,72.0,970.0,2.0,6768.0,21.0,861.0
