Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
7894.0,2096.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078.0,7745.0,117.0,50.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,145.0,5052.0,3234.0,356.0,1127.0,41.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,11.0,2869.0,3670.0,1091.0,2049.0,218.0,25.0,2.0,20.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1330.0,1941.0,2536.0,3020.0,731.0,133.0,21.0,97.0,107.0,79.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,472.0,814.0,3307.0,2332.0,1529.0,369.0,92.0,357.0,300.0,387.0,2.0,8.0,26.0,4.0,0.0,1.0,0.0,0.0
0.0,0.0,118.0,217.0,1467.0,974.0,2789.0,1022.0,347.0,1036.0,839.0,991.0,20.0,31.0,105.0,42.0,1.0,1.0,0.0,0.0
0.0,0.0,29.0,45.0,685.0,311.0,1780.0,1472.0,636.0,1569.0,1454.0,1438.0,64.0,101.0,259.0,146.0,9.0,2.0,0.0,0.0
0.0,0.0,4.0,19.0,321.0,118.0,1131.0,1507.0,1025.0,1565.0,1647.0,1621.0,140.0,197.0,457.0,213.0,26.0,9.0,0.0,0.0
0.0,0.0,0.0,7.0,135.0,43.0,796.0,1383.0,1255.0,1522.0,1571.0,1580.0,224.0,328.0,659.0,401.0,60.0,36.0,0.0,0.0
0.0,0.0,0.0,2.0,61.0,9.0,452.0,1354.0,1574.0,1153.0,1322.0,1314.0,381.0,643.0,907.0,618.0,128.0,81.0,1.0,0.0
0.0,0.0,0.0,0.0,27.0,6.0,282.0,1048.0,1625.0,1018.0,1025.0,1003.0,592.0,879.0,1116.0,945.0,263.0,171.0,0.0,0.0
0.0,0.0,0.0,0.0,11.0,2.0,156.0,730.0,1383.0,694.0,739.0,734.0,919.0,1203.0,1442.0,1223.0,422.0,338.0,4.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,63.0,489.0,964.0,472.0,476.0,421.0,1295.0,1506.0,1497.0,1494.0,712.0,602.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,273.0,599.0,267.0,301.0,268.0,1653.0,1603.0,1319.0,1552.0,1091.0,1015.0,39.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,132.0,311.0,151.0,126.0,110.0,1804.0,1578.0,1064.0,1420.0,1630.0,1565.0,99.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,130.0,67.0,45.0,32.0,1728.0,1187.0,751.0,1135.0,2344.0,2226.0,308.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,35.0,11.0,9.0,7.0,1077.0,653.0,373.0,694.0,2687.0,3214.0,1182.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,101.0,83.0,24.0,110.0,617.0,721.0,7602.0,739.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,18.0,758.0,9212.0
