AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,FC Twente,Ajax Amsterdam,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Sparta Rotterdam,Telstar,SC Cambuur,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II
566.0,2003.0,6271.0,576.0,552.0,0.0,2.0,17.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505.0,3044.0,2280.0,1519.0,1466.0,2.0,25.0,54.0,36.0,23.0,43.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2118.0,2135.0,895.0,2107.0,2071.0,34.0,90.0,178.0,134.0,69.0,157.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0
2221.0,1422.0,369.0,2176.0,2249.0,78.0,246.0,438.0,256.0,212.0,280.0,4.0,11.0,0.0,38.0,0.0,0.0,0.0
1729.0,854.0,136.0,1917.0,1855.0,224.0,547.0,815.0,605.0,514.0,650.0,4.0,41.0,0.0,109.0,0.0,0.0,0.0
933.0,327.0,33.0,868.0,923.0,517.0,1079.0,1451.0,1161.0,1084.0,1200.0,16.0,106.0,1.0,297.0,4.0,0.0,0.0
466.0,131.0,12.0,430.0,474.0,834.0,1347.0,1624.0,1341.0,1237.0,1403.0,44.0,174.0,4.0,472.0,7.0,0.0,0.0
248.0,44.0,2.0,226.0,209.0,995.0,1370.0,1443.0,1457.0,1402.0,1489.0,75.0,327.0,0.0,693.0,20.0,0.0,0.0
104.0,28.0,2.0,98.0,101.0,1308.0,1365.0,1237.0,1324.0,1420.0,1307.0,156.0,519.0,11.0,979.0,38.0,2.0,1.0
70.0,10.0,0.0,46.0,67.0,1501.0,1267.0,1053.0,1167.0,1253.0,1203.0,293.0,765.0,16.0,1183.0,103.0,3.0,0.0
26.0,1.0,0.0,26.0,22.0,1515.0,1073.0,745.0,1055.0,1117.0,980.0,495.0,1117.0,64.0,1538.0,208.0,18.0,0.0
13.0,1.0,0.0,7.0,10.0,1336.0,807.0,542.0,746.0,915.0,734.0,948.0,1606.0,195.0,1731.0,362.0,44.0,3.0
1.0,0.0,0.0,3.0,0.0,989.0,502.0,271.0,452.0,490.0,352.0,1753.0,2140.0,539.0,1453.0,874.0,145.0,36.0
0.0,0.0,0.0,1.0,0.0,458.0,194.0,93.0,187.0,196.0,149.0,2622.0,1712.0,1190.0,893.0,1744.0,439.0,122.0
0.0,0.0,0.0,0.0,1.0,168.0,61.0,36.0,65.0,54.0,37.0,1972.0,907.0,2241.0,401.0,2769.0,948.0,340.0
0.0,0.0,0.0,0.0,0.0,37.0,21.0,3.0,12.0,10.0,7.0,1082.0,405.0,3092.0,146.0,2188.0,1998.0,999.0
0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,442.0,134.0,1913.0,47.0,1266.0,3738.0,2450.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,34.0,734.0,7.0,417.0,2665.0,6049.0
