Swansea City,West Ham United,Middlesbrough,Wolverhampton Wanderers,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Bolton Wanderers,Blackburn Rovers,Norwich City,Sheffield United,Portsmouth,Watford,Cardiff City,Derby County,Preston North End,Burnley
200.0,5942.0,496.0,2718.0,14.0,5.0,8.0,21.0,1.0,24.0,71.0,0.0,470.0,8.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
592.0,2464.0,1181.0,3596.0,84.0,40.0,56.0,71.0,11.0,116.0,297.0,1.0,1295.0,44.0,0.0,4.0,98.0,31.0,6.0,0.0,0.0,8.0,1.0,4.0
1131.0,873.0,1916.0,1721.0,243.0,136.0,175.0,224.0,24.0,277.0,674.0,2.0,1982.0,194.0,0.0,25.0,237.0,95.0,12.0,7.0,1.0,31.0,2.0,18.0
1352.0,387.0,1744.0,897.0,421.0,223.0,299.0,371.0,60.0,457.0,950.0,9.0,1685.0,273.0,3.0,55.0,431.0,203.0,39.0,13.0,2.0,84.0,7.0,35.0
1302.0,160.0,1330.0,447.0,613.0,350.0,430.0,529.0,103.0,708.0,1081.0,21.0,1282.0,454.0,6.0,82.0,529.0,278.0,66.0,44.0,5.0,107.0,17.0,56.0
1095.0,84.0,932.0,252.0,671.0,508.0,531.0,669.0,163.0,763.0,1048.0,31.0,901.0,517.0,12.0,152.0,761.0,375.0,131.0,83.0,8.0,189.0,19.0,105.0
958.0,39.0,669.0,142.0,708.0,577.0,623.0,727.0,245.0,808.0,977.0,51.0,640.0,632.0,17.0,192.0,769.0,481.0,164.0,104.0,11.0,265.0,24.0,177.0
696.0,22.0,508.0,101.0,778.0,659.0,674.0,761.0,292.0,821.0,857.0,76.0,471.0,680.0,33.0,259.0,778.0,535.0,208.0,174.0,29.0,334.0,48.0,206.0
628.0,15.0,350.0,45.0,800.0,636.0,759.0,741.0,336.0,822.0,719.0,117.0,341.0,729.0,55.0,334.0,746.0,608.0,291.0,186.0,27.0,349.0,54.0,312.0
472.0,7.0,261.0,25.0,784.0,675.0,714.0,750.0,427.0,757.0,648.0,148.0,273.0,687.0,71.0,379.0,753.0,660.0,347.0,245.0,49.0,443.0,90.0,335.0
375.0,4.0,195.0,20.0,743.0,678.0,682.0,752.0,461.0,700.0,529.0,212.0,194.0,694.0,117.0,425.0,773.0,710.0,392.0,327.0,65.0,452.0,120.0,380.0
308.0,1.0,138.0,20.0,653.0,722.0,706.0,634.0,525.0,651.0,451.0,231.0,141.0,700.0,144.0,530.0,680.0,722.0,446.0,332.0,87.0,552.0,173.0,453.0
241.0,2.0,95.0,8.0,611.0,676.0,663.0,614.0,582.0,574.0,441.0,283.0,98.0,688.0,136.0,580.0,575.0,696.0,522.0,482.0,128.0,606.0,173.0,526.0
204.0,0.0,72.0,3.0,542.0,628.0,646.0,591.0,646.0,507.0,313.0,391.0,77.0,588.0,197.0,665.0,518.0,685.0,599.0,522.0,184.0,622.0,268.0,532.0
125.0,0.0,46.0,1.0,492.0,579.0,604.0,515.0,652.0,452.0,261.0,477.0,50.0,648.0,268.0,700.0,490.0,614.0,660.0,565.0,220.0,666.0,295.0,620.0
90.0,0.0,22.0,2.0,429.0,606.0,482.0,473.0,755.0,389.0,190.0,573.0,34.0,513.0,364.0,700.0,409.0,622.0,665.0,640.0,315.0,656.0,414.0,657.0
63.0,0.0,18.0,2.0,345.0,510.0,426.0,416.0,729.0,324.0,155.0,683.0,26.0,458.0,443.0,766.0,350.0,558.0,706.0,723.0,403.0,714.0,494.0,688.0
61.0,0.0,11.0,0.0,307.0,458.0,385.0,336.0,693.0,245.0,123.0,718.0,16.0,416.0,570.0,731.0,298.0,505.0,745.0,792.0,506.0,736.0,613.0,735.0
35.0,0.0,9.0,0.0,254.0,408.0,352.0,255.0,697.0,203.0,70.0,830.0,13.0,334.0,712.0,775.0,247.0,433.0,759.0,836.0,622.0,666.0,708.0,782.0
36.0,0.0,3.0,0.0,194.0,345.0,306.0,199.0,708.0,167.0,64.0,956.0,2.0,278.0,800.0,681.0,195.0,396.0,817.0,839.0,772.0,667.0,879.0,696.0
21.0,0.0,2.0,0.0,132.0,238.0,221.0,153.0,605.0,109.0,42.0,1046.0,6.0,192.0,1034.0,662.0,156.0,311.0,752.0,878.0,984.0,620.0,1071.0,765.0
5.0,0.0,2.0,0.0,101.0,178.0,149.0,106.0,569.0,68.0,24.0,1125.0,1.0,144.0,1294.0,538.0,114.0,249.0,688.0,824.0,1268.0,543.0,1306.0,704.0
9.0,0.0,0.0,0.0,56.0,111.0,79.0,63.0,451.0,39.0,10.0,1121.0,2.0,84.0,1646.0,452.0,59.0,149.0,551.0,791.0,1758.0,425.0,1498.0,646.0
1.0,0.0,0.0,0.0,25.0,54.0,30.0,29.0,265.0,19.0,5.0,898.0,0.0,45.0,2078.0,313.0,15.0,84.0,433.0,593.0,2556.0,263.0,1726.0,568.0
