Borussia Dortmund,Bayern Munich,SC Freiburg,FC Augsburg,Bayer Leverkusen,Mainz,SV Elversberg,Werder Bremen,RB Leipzig,Eintracht Frankfurt,Schalke 04,SC Paderborn 07,FC Cologne,TSG Hoffenheim,VfB Stuttgart,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach
1471.0,8363.0,25.0,0.0,82.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0
6149.0,1450.0,400.0,37.0,945.0,77.0,5.0,8.0,522.0,24.0,0.0,0.0,7.0,63.0,310.0,1.0,0.0,2.0
1486.0,151.0,1368.0,286.0,2757.0,336.0,48.0,43.0,1803.0,164.0,3.0,2.0,33.0,351.0,1161.0,4.0,1.0,3.0
491.0,26.0,1607.0,528.0,2037.0,645.0,118.0,139.0,1906.0,329.0,9.0,6.0,69.0,652.0,1403.0,20.0,5.0,10.0
232.0,8.0,1553.0,697.0,1405.0,908.0,222.0,231.0,1518.0,512.0,26.0,5.0,145.0,915.0,1538.0,44.0,18.0,23.0
85.0,0.0,1326.0,952.0,984.0,1052.0,373.0,397.0,1206.0,714.0,45.0,18.0,272.0,1055.0,1360.0,74.0,41.0,46.0
50.0,1.0,1093.0,1096.0,630.0,1145.0,544.0,570.0,954.0,846.0,94.0,34.0,396.0,1140.0,1096.0,132.0,81.0,98.0
14.0,1.0,807.0,1130.0,458.0,1172.0,751.0,736.0,752.0,1036.0,153.0,85.0,483.0,1116.0,852.0,197.0,100.0,157.0
8.0,0.0,610.0,1121.0,296.0,1086.0,858.0,923.0,466.0,1111.0,243.0,113.0,671.0,1043.0,703.0,335.0,182.0,231.0
11.0,0.0,427.0,1026.0,177.0,968.0,988.0,1028.0,342.0,1126.0,363.0,227.0,819.0,938.0,496.0,456.0,269.0,339.0
0.0,0.0,305.0,931.0,102.0,787.0,1139.0,1093.0,194.0,986.0,498.0,307.0,1025.0,799.0,392.0,610.0,369.0,463.0
3.0,0.0,205.0,722.0,65.0,645.0,1057.0,1077.0,131.0,919.0,729.0,474.0,1071.0,613.0,266.0,757.0,559.0,707.0
0.0,0.0,127.0,531.0,36.0,431.0,1053.0,1054.0,74.0,741.0,934.0,651.0,1145.0,479.0,192.0,949.0,719.0,884.0
0.0,0.0,65.0,363.0,11.0,318.0,940.0,888.0,48.0,564.0,1150.0,910.0,1045.0,377.0,110.0,1131.0,941.0,1139.0
0.0,0.0,42.0,258.0,6.0,192.0,797.0,695.0,25.0,392.0,1349.0,1208.0,922.0,218.0,51.0,1332.0,1226.0,1287.0
0.0,0.0,26.0,181.0,5.0,142.0,514.0,547.0,14.0,268.0,1515.0,1517.0,797.0,143.0,33.0,1408.0,1461.0,1429.0
0.0,0.0,12.0,114.0,3.0,67.0,397.0,375.0,4.0,193.0,1486.0,1950.0,662.0,65.0,14.0,1328.0,1781.0,1549.0
0.0,0.0,2.0,27.0,1.0,29.0,196.0,196.0,2.0,74.0,1403.0,2493.0,438.0,30.0,7.0,1222.0,2247.0,1633.0
