Barcelona,Atlético Madrid,Real Betis,Real Madrid,Sevilla,Alavés,Deportivo La Coruña,Real Sociedad,Villarreal,Athletic Club,Getafe,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Racing Santander,Levante,Elche,Valencia,Málaga
9284.0,83.0,26.0,606.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632.0,1960.0,707.0,6452.0,19.0,20.0,3.0,28.0,144.0,5.0,1.0,4.0,1.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0
80.0,4234.0,2224.0,2019.0,162.0,111.0,18.0,159.0,713.0,54.0,21.0,52.0,10.0,111.0,12.0,0.0,15.0,4.0,1.0,0.0
4.0,2107.0,3112.0,640.0,476.0,405.0,92.0,481.0,1562.0,234.0,73.0,204.0,75.0,384.0,45.0,1.0,58.0,39.0,8.0,0.0
0.0,863.0,1681.0,193.0,958.0,740.0,258.0,897.0,2082.0,430.0,163.0,409.0,141.0,772.0,111.0,4.0,157.0,110.0,31.0,0.0
0.0,390.0,901.0,50.0,1103.0,1003.0,391.0,1166.0,1513.0,685.0,296.0,617.0,218.0,929.0,204.0,2.0,257.0,214.0,61.0,0.0
0.0,164.0,515.0,23.0,1192.0,1053.0,543.0,1071.0,1162.0,798.0,397.0,694.0,338.0,992.0,317.0,8.0,364.0,261.0,108.0,0.0
0.0,101.0,323.0,11.0,1045.0,1007.0,685.0,1029.0,797.0,831.0,487.0,818.0,421.0,979.0,402.0,20.0,506.0,384.0,154.0,0.0
0.0,50.0,188.0,5.0,1009.0,945.0,720.0,968.0,558.0,877.0,624.0,829.0,511.0,889.0,518.0,26.0,596.0,485.0,201.0,1.0
0.0,19.0,131.0,1.0,833.0,856.0,812.0,831.0,457.0,882.0,672.0,863.0,600.0,836.0,656.0,43.0,633.0,579.0,294.0,2.0
0.0,12.0,74.0,0.0,724.0,821.0,811.0,767.0,309.0,861.0,775.0,825.0,726.0,833.0,648.0,74.0,753.0,647.0,339.0,1.0
0.0,8.0,46.0,0.0,652.0,687.0,844.0,598.0,255.0,787.0,819.0,854.0,822.0,735.0,750.0,110.0,759.0,767.0,503.0,4.0
0.0,4.0,36.0,0.0,510.0,589.0,868.0,543.0,179.0,751.0,870.0,750.0,890.0,628.0,913.0,154.0,869.0,827.0,608.0,11.0
0.0,3.0,15.0,0.0,407.0,523.0,827.0,468.0,102.0,701.0,954.0,757.0,880.0,532.0,947.0,252.0,886.0,993.0,735.0,18.0
0.0,1.0,10.0,0.0,314.0,463.0,837.0,334.0,70.0,618.0,908.0,658.0,1013.0,443.0,985.0,357.0,984.0,999.0,954.0,52.0
0.0,1.0,5.0,0.0,274.0,321.0,826.0,299.0,51.0,515.0,960.0,603.0,998.0,364.0,1042.0,575.0,936.0,1002.0,1149.0,79.0
0.0,0.0,4.0,0.0,171.0,255.0,639.0,206.0,30.0,487.0,838.0,521.0,988.0,307.0,1004.0,925.0,947.0,1091.0,1409.0,178.0
0.0,0.0,2.0,0.0,112.0,143.0,541.0,119.0,10.0,324.0,732.0,359.0,832.0,171.0,844.0,1759.0,762.0,940.0,1878.0,472.0
0.0,0.0,0.0,0.0,35.0,53.0,260.0,32.0,5.0,138.0,359.0,161.0,464.0,69.0,503.0,3968.0,447.0,546.0,1248.0,1712.0
0.0,0.0,0.0,0.0,4.0,4.0,25.0,4.0,1.0,22.0,51.0,22.0,72.0,3.0,99.0,1722.0,70.0,112.0,319.0,7470.0
