Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Leeds United,Liverpool,Everton,Hull City,Newcastle United,Chelsea,Ipswich Town,Manchester United,Nottingham Forest,Sunderland,Crystal Palace,Aston Villa,AFC Bournemouth,Coventry City,Fulham,Tottenham Hotspur
5617.0,3691.0,335.0,81.0,21.0,111.0,24.0,1.0,9.0,21.0,0.0,68.0,4.0,1.0,0.0,7.0,9.0,0.0,0.0,0.0
2976.0,4157.0,1041.0,406.0,137.0,536.0,117.0,8.0,73.0,114.0,0.0,338.0,25.0,5.0,1.0,29.0,29.0,0.0,7.0,1.0
842.0,1235.0,2242.0,1040.0,499.0,1397.0,427.0,36.0,276.0,418.0,2.0,1025.0,125.0,44.0,20.0,172.0,160.0,0.0,27.0,13.0
314.0,481.0,1674.0,1250.0,787.0,1563.0,595.0,76.0,446.0,599.0,2.0,1214.0,241.0,91.0,38.0,302.0,250.0,0.0,58.0,19.0
143.0,222.0,1278.0,1214.0,899.0,1306.0,783.0,107.0,612.0,780.0,3.0,1180.0,338.0,158.0,63.0,365.0,421.0,0.0,97.0,31.0
61.0,107.0,927.0,1147.0,934.0,1042.0,841.0,226.0,733.0,848.0,9.0,1120.0,503.0,215.0,103.0,482.0,501.0,0.0,152.0,49.0
23.0,52.0,682.0,916.0,970.0,906.0,880.0,291.0,755.0,936.0,35.0,1025.0,550.0,285.0,164.0,571.0,654.0,0.0,235.0,70.0
11.0,30.0,471.0,891.0,940.0,757.0,883.0,359.0,875.0,911.0,45.0,840.0,633.0,351.0,189.0,683.0,704.0,0.0,328.0,99.0
5.0,9.0,443.0,701.0,820.0,620.0,898.0,494.0,840.0,863.0,54.0,719.0,756.0,458.0,285.0,730.0,718.0,0.0,398.0,189.0
4.0,5.0,286.0,607.0,828.0,520.0,832.0,549.0,856.0,809.0,79.0,601.0,826.0,529.0,379.0,812.0,795.0,1.0,475.0,207.0
2.0,4.0,214.0,467.0,731.0,362.0,788.0,678.0,795.0,791.0,138.0,506.0,830.0,642.0,453.0,879.0,857.0,0.0,571.0,292.0
2.0,1.0,145.0,402.0,566.0,312.0,760.0,795.0,756.0,693.0,180.0,418.0,811.0,772.0,543.0,875.0,855.0,3.0,703.0,408.0
0.0,4.0,107.0,268.0,526.0,198.0,626.0,873.0,724.0,608.0,293.0,312.0,868.0,869.0,697.0,829.0,872.0,8.0,826.0,492.0
0.0,2.0,61.0,239.0,433.0,163.0,481.0,980.0,669.0,486.0,418.0,222.0,823.0,934.0,882.0,770.0,749.0,11.0,1005.0,672.0
0.0,0.0,41.0,146.0,325.0,83.0,382.0,1075.0,547.0,384.0,570.0,161.0,784.0,1058.0,1039.0,711.0,751.0,13.0,1047.0,883.0
0.0,0.0,24.0,104.0,256.0,55.0,265.0,1044.0,444.0,328.0,851.0,129.0,676.0,1037.0,1236.0,633.0,634.0,74.0,1090.0,1120.0
0.0,0.0,17.0,77.0,182.0,36.0,243.0,979.0,299.0,234.0,1312.0,70.0,574.0,980.0,1311.0,525.0,504.0,112.0,1153.0,1392.0
0.0,0.0,9.0,30.0,103.0,24.0,120.0,823.0,187.0,116.0,2016.0,41.0,399.0,892.0,1385.0,387.0,320.0,327.0,1027.0,1794.0
0.0,0.0,3.0,13.0,40.0,7.0,53.0,549.0,96.0,54.0,3143.0,9.0,212.0,605.0,1021.0,213.0,197.0,1185.0,702.0,1898.0
0.0,0.0,0.0,1.0,3.0,2.0,2.0,57.0,8.0,7.0,850.0,2.0,22.0,74.0,191.0,25.0,20.0,8266.0,99.0,371.0
