AS Roma,Internazionale,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Como,Napoli,Sassuolo,Atalanta,Lecce,Udinese,Torino,Parma,Monza,Fiorentina,Bologna,Genoa,Venezia
2463.0,5562.0,66.0,10.0,252.0,10.0,527.0,977.0,107.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3041.0,2409.0,262.0,49.0,725.0,37.0,1264.0,1764.0,349.0,18.0,69.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
1893.0,1082.0,559.0,130.0,1211.0,143.0,1753.0,2188.0,790.0,36.0,187.0,1.0,12.0,2.0,1.0,0.0,4.0,8.0,0.0,0.0
1132.0,509.0,893.0,249.0,1643.0,264.0,1842.0,1765.0,1072.0,129.0,411.0,0.0,38.0,10.0,4.0,0.0,15.0,21.0,3.0,0.0
677.0,255.0,1193.0,494.0,1556.0,489.0,1553.0,1262.0,1388.0,214.0,653.0,10.0,116.0,27.0,10.0,2.0,28.0,69.0,4.0,0.0
393.0,101.0,1403.0,702.0,1489.0,686.0,1112.0,886.0,1471.0,387.0,886.0,19.0,223.0,48.0,16.0,0.0,55.0,103.0,20.0,0.0
207.0,45.0,1403.0,951.0,1047.0,939.0,792.0,516.0,1354.0,583.0,1186.0,38.0,358.0,113.0,58.0,8.0,144.0,221.0,37.0,0.0
92.0,26.0,1277.0,1188.0,758.0,1152.0,508.0,284.0,1045.0,820.0,1272.0,69.0,515.0,180.0,87.0,18.0,218.0,414.0,77.0,0.0
58.0,6.0,933.0,1275.0,535.0,1243.0,286.0,169.0,843.0,1007.0,1213.0,148.0,704.0,306.0,155.0,50.0,373.0,568.0,128.0,0.0
20.0,3.0,705.0,1146.0,337.0,1247.0,153.0,94.0,625.0,1165.0,1140.0,258.0,883.0,460.0,262.0,72.0,491.0,737.0,202.0,0.0
13.0,2.0,502.0,1018.0,198.0,998.0,103.0,48.0,394.0,1192.0,884.0,392.0,1120.0,659.0,397.0,130.0,658.0,961.0,330.0,1.0
6.0,0.0,330.0,894.0,114.0,839.0,62.0,32.0,257.0,1109.0,682.0,551.0,1145.0,792.0,580.0,192.0,896.0,1040.0,477.0,2.0
3.0,0.0,233.0,654.0,72.0,625.0,27.0,10.0,133.0,1002.0,507.0,677.0,1139.0,1021.0,785.0,313.0,988.0,1171.0,629.0,11.0
1.0,0.0,115.0,481.0,29.0,529.0,9.0,2.0,86.0,757.0,358.0,951.0,1055.0,1123.0,945.0,455.0,1068.0,1199.0,824.0,13.0
1.0,0.0,76.0,315.0,19.0,353.0,5.0,3.0,46.0,600.0,238.0,1151.0,825.0,1261.0,1198.0,657.0,1203.0,979.0,1042.0,28.0
0.0,0.0,30.0,222.0,11.0,200.0,1.0,0.0,19.0,405.0,142.0,1422.0,729.0,1163.0,1286.0,929.0,1238.0,899.0,1251.0,53.0
0.0,0.0,16.0,129.0,3.0,145.0,1.0,0.0,16.0,313.0,97.0,1398.0,579.0,1129.0,1468.0,1352.0,1055.0,722.0,1455.0,122.0
0.0,0.0,4.0,71.0,1.0,70.0,2.0,0.0,4.0,176.0,40.0,1487.0,365.0,970.0,1436.0,2015.0,829.0,530.0,1647.0,353.0
0.0,0.0,0.0,20.0,0.0,27.0,0.0,0.0,1.0,78.0,17.0,1232.0,168.0,614.0,1109.0,3032.0,662.0,307.0,1574.0,1159.0
0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,196.0,17.0,121.0,203.0,775.0,74.0,48.0,300.0,8258.0
